"",BBK01.OEAF25K,BBK01.OEAF25K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:06,
2002-01,1.321,
2002-04,1.289,
2002-07,1.343,
2002-10,1.648,
2003-01,1.596,
2003-04,2.150,
2003-07,2.833,
2003-10,2.319,
2004-01,2.904,
2004-04,2.365,
2004-07,2.461,
2004-10,3.132,
2005-01,2.661,
2005-04,2.568,
2005-07,2.734,
2005-10,2.739,
2006-01,2.716,
2006-04,2.782,
2006-07,2.852,
2006-10,2.877,
2007-01,2.838,
2007-04,2.925,
2007-07,2.951,
2007-10,2.825,
2008-01,2.866,
2008-04,2.931,
2008-07,2.974,
2008-10,3.329,
2009-01,3.407,
2009-04,3.464,
2009-07,3.524,
2009-10,3.489,
2010-01,3.435,
2010-04,1.959,
2010-07,2.095,
2010-10,2.128,
2011-01,2.094,
2011-04,2.083,
2011-07,2.094,
2011-10,2.090,
2012-01,2.044,
2012-04,2.026,
2012-07,2.160,
2012-10,2.107,
2013-01,2.132,
2013-04,2.167,
2013-07,2.198,
2013-10,2.194,
2014-01,2.194,
2014-04,2.016,
2014-07,2.024,
