"",BBK01.OEYM01G,BBK01.OEYM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:30,
2002-01,3.814,
2002-04,4.396,
2002-07,4.254,
2002-10,3.789,
2003-01,4.016,
2003-04,4.938,
2003-07,3.557,
2003-10,3.603,
2004-01,3.515,
2004-04,4.083,
2004-07,3.706,
2004-10,3.344,
2005-01,3.507,
2005-04,4.102,
2005-07,3.970,
2005-10,3.450,
2006-01,4.643,
2006-04,5.493,
2006-07,5.138,
2006-10,7.574,
2007-01,5.462,
2007-04,8.223,
2007-07,8.893,
2007-10,8.811,
2008-01,8.490,
2008-04,11.874,
2008-07,10.936,
2008-10,12.270,
2009-01,10.669,
2009-04,6.260,
2009-07,7.116,
2009-10,7.958,
2010-01,7.361,
2010-04,7.645,
2010-07,9.562,
2010-10,7.536,
2011-01,7.513,
2011-04,9.236,
2011-07,7.361,
2011-10,5.413,
2012-01,6.289,
2012-04,20.250,
2012-07,21.369,
2012-10,21.190,
2013-01,18.634,
2013-04,19.144,
2013-07,20.798,
2013-10,23.905,
2014-01,22.549,
2014-04,24.842,
2014-07,24.803,
