"",BBK01.OEAJ09O,BBK01.OEAJ09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:52,
2002-01,0.061,
2002-04,0.058,
2002-07,0.049,
2002-10,0.047,
2003-01,0.052,
2003-04,0.060,
2003-07,0.063,
2003-10,0.061,
2004-01,0.060,
2004-04,0.052,
2004-07,0.053,
2004-10,0.042,
2005-01,0.047,
2005-04,0.037,
2005-07,0.036,
2005-10,0.043,
2006-01,0.042,
2006-04,0.045,
2006-07,0.047,
2006-10,0.040,
2007-01,0.038,
2007-04,0.034,
2007-07,0.025,
2007-10,0.027,
2008-01,0.023,
2008-04,0.035,
2008-07,0.048,
2008-10,0.048,
2009-01,0.053,
2009-04,0.074,
2009-07,0.084,
2009-10,0.090,
2010-01,0.096,
2010-04,0.099,
2010-07,0.094,
2010-10,0.078,
2011-01,0.075,
2011-04,0.073,
2011-07,0.064,
2011-10,0.060,
2012-01,0.063,
2012-04,0.075,
2012-07,0.073,
2012-10,0.078,
2013-01,0.083,
2013-04,0.082,
2013-07,0.082,
2013-10,0.104,
2014-01,0.113,
2014-04,0.092,
2014-07,0.081,
