"",BBEX3.M.SLL.USD.CA.AC.A01,BBEX3.M.SLL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Sierra Leone / USD 1 = SLL ... (middle),
unit,SLL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:59,
1991-01,201.70000,
1991-02,202.80000,
1991-03,221.20000,
1991-04,236.25000,
1991-05,246.36000,
1991-06,261.36000,
1991-07,311.00000,
1991-08,323.00000,
1991-09,362.58500,
1991-10,415.83000,
1991-11,420.64500,
1991-12,438.19000,
1992-01,450.31500,
1992-02,470.00000,
1992-03,495.00000,
1992-04,499.36500,
1992-05,507.50000,
1992-06,514.29000,
1992-07,514.00000,
1992-08,515.32000,
1992-09,518.01000,
1992-10,520.33500,
1992-11,526.08500,
1992-12,538.75000,
1993-01,560.42000,
1993-02,560.00000,
1993-03,560.83000,
1993-04,560.01500,
1993-05,565.62000,
1993-06,567.08000,
1993-07,570.52500,
1993-08,568.32000,
1993-09,587.80500,
1993-10,572.50000,
1993-11,580.00000,
1993-12,580.00000,
1994-01,580.00000,
1994-02,578.75000,
1994-03,577.50000,
1994-04,576.75500,
1994-05,579.82000,
1994-06,583.50500,
1994-07,581.26500,
1994-08,587.89500,
1994-09,593.39500,
1994-10,595.43500,
1994-11,603.31500,
1994-12,612.99000,
1995-01,629.33000,
1995-02,640.16000,
1995-03,639.56000,
1995-04,637.57500,
1995-05,645.65500,
1995-06,683.20500,
1995-07,761.11000,
1995-08,793.85000,
1995-09,851.95500,
1995-10,893.21500,
1995-11,936.19000,
1995-12,957.53000,
1996-01,951.65000,
1996-02,935.32000,
1996-03,933.54500,
1996-04,928.49000,
1996-05,888.51500,
1996-06,897.87000,
1996-07,906.62500,
1996-08,916.61500,
1996-09,934.30000,
1996-10,925.96000,
1996-11,928.33000,
1996-12,926.26500,
1997-01,908.11000,
1997-02,893.80000,
1997-03,851.98500,
1997-04,823.78000,
1997-05,822.11000,
1997-06,816.72500,
1997-07,816.72500,
1997-08,1021.79000,
1997-09,1083.34500,
1997-10,1214.82000,
1997-11,1258.82500,
1997-12,1311.64000,
1998-01,1490.19500,
1998-02,1609.01000,
1998-03,1549.33000,
1998-04,1505.06500,
1998-05,1533.87000,
1998-06,1516.08000,
1998-07,1572.19000,
1998-08,1581.98500,
1998-09,1610.27500,
1998-10,1590.68000,
1998-11,1612.42500,
1998-12,1590.76000,
1999-01,1549.11000,
1999-02,1567.06500,
1999-03,1640.18000,
1999-04,1593.24500,
1999-05,1678.93000,
1999-06,1803.10500,
1999-07,1796.88000,
1999-08,1932.13000,
1999-09,2054.80500,
1999-10,2081.84500,
1999-11,2240.22500,
1999-12,2276.28000,
2000-01,2368.37500,
2000-02,2368.55500,
2000-03,2260.56000,
2000-04,1926.64500,
2000-05,1928.07000,
2000-06,2005.86500,
2000-07,2128.71000,
2000-08,2130.77500,
2000-09,2098.65500,
2000-10,2036.26500,
2000-11,1844.26500,
2000-12,1659.93500,
2001-01,1703.56500,
2001-02,1819.07000,
2001-03,1903.01000,
2001-04,1909.68000,
2001-05,1906.93500,
2001-06,1967.03000,
2001-07,2064.67500,
2001-08,2046.16000,
2001-09,2091.01000,
2001-10,2134.25500,
2001-11,2271.29000,
2001-12,2161.27000,
2002-01,2064.71000,
2002-02,2136.27000,
2002-03,2165.32000,
2002-04,2142.49500,
2002-05,2008.93500,
2002-06,2034.99000,
2002-07,2068.63500,
2002-08,2072.78000,
2002-09,2093.67000,
2002-10,2123.09500,
2002-11,2158.64500,
2002-12,2191.72500,
2003-01,2219.24500,
2003-02,2204.89000,
2003-03,2256.98000,
2003-04,2215.15500,
2003-05,2320.07000,
2003-06,2319.76000,
2003-07,2344.37500,
2003-08,2386.44000,
2003-09,2456.43500,
2003-10,2504.83000,
2003-11,2508.36000,
2003-12,2562.17500,
2004-01,2602.71500,
2004-02,2629.54500,
2004-03,2670.73500,
2004-04,2669.11500,
2004-05,2721.82000,
2004-06,2685.13000,
2004-07,2697.28500,
2004-08,2741.77000,
2004-09,2752.37500,
2004-10,2777.87000,
2004-11,2830.73500,
2004-12,2860.48500,
2005-01,2865.52500,
2005-02,2889.09000,
2005-03,2864.65500,
2005-04,2874.70500,
2005-05,2842.17000,
2005-06,2883.61500,
2005-07,2889.80500,
2005-08,2904.10500,
2005-09,2910.74000,
2005-10,2934.08000,
2005-11,2917.62500,
2005-12,2932.51500,
2006-01,2927.62500,
2006-02,2945.53500,
2006-03,2948.64500,
2006-04,2938.16500,
2006-05,2955.32500,
2006-06,2976.31500,
2006-07,2969.22500,
2006-08,2967.57500,
2006-09,2985.51000,
2006-10,2986.91000,
2006-11,2985.27500,
2006-12,2973.94000,
2007-01,2984.41500,comment
2007-02,2985.52500,
2007-03,2984.77000,
2007-04,2989.28500,
2007-05,2984.21000,
2007-06,2987.27500,
2007-07,2984.66000,
2007-08,2982.73000,
2007-09,2983.62500,
2007-10,2986.76000,
2007-11,2982.84000,
2007-12,2977.59500,
2008-01,2977.11500,
2008-02,2973.14000,
2008-03,2970.96000,
2008-04,2969.82000,
2008-05,2970.70500,
2008-06,2969.80000,
2008-07,2969.97000,
2008-08,2967.55500,
2008-09,2981.20500,
2008-10,3000.74000,
2008-11,3024.19000,
2008-12,3042.23500,
2009-01,3058.25500,
2009-02,3080.36000,
2009-03,3134.99000,
2009-04,3166.14500,
2009-05,3211.18500,
2009-06,3288.01000,
2009-07,3345.06000,
2009-08,3552.88000,
2009-09,3609.45500,
2009-10,3771.30000,
2009-11,3908.27000,
2009-12,3855.68000,
2010-01,3906.99000,
2010-02,3852.72500,
2010-03,3875.12000,
2010-04,3908.70500,
2010-05,3931.63000,
2010-06,3905.77000,
2010-07,3916.34000,
2010-08,3971.21500,
2010-09,4081.10000,
2010-10,4114.47500,
2010-11,4191.51500,
2010-12,4198.01000,
2011-01,4261.55500,
2011-02,4270.96000,
2011-03,4327.03000,
2011-04,4354.47500,
2011-05,4340.17000,
2011-06,4354.49500,
2011-07,4376.79500,
2011-08,4404.79000,
2011-09,4406.02000,
2011-10,4418.43500,
2011-11,4409.08000,
2011-12,4377.71000,
2012-01,4365.08000,
2012-02,4361.41500,
2012-03,4349.95000,
2012-04,4346.24000,
2012-05,4340.84000,
2012-06,4328.23000,
2012-07,4332.15000,
2012-08,4334.71500,
2012-09,4335.17000,
