"",BBFB1.Q.N.DE.GR.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:25,
1991-01,32.721,
1991-04,39.153,
1991-07,44.760,
1991-10,41.231,
1992-01,46.128,
1992-04,41.241,
1992-07,35.404,
1992-10,48.332,
1993-01,39.504,
1993-04,44.197,
1993-07,48.212,
1993-10,53.550,
1994-01,29.176,
1994-04,28.136,
1994-07,30.606,
1994-10,38.234,
1995-01,65.824,
1995-04,62.937,
1995-07,64.829,
1995-10,65.056,
1996-01,9.168,
1996-04,15.447,
1996-07,119.756,
1996-10,18.578,
1997-01,146.108,
1997-04,175.645,
1997-07,175.344,
1997-10,142.947,
1998-01,101.860,
1998-04,186.807,
1998-07,264.949,
1998-10,222.818,
1999-01,243.745,
1999-04,266.142,
1999-07,269.457,
1999-10,262.860,
2000-01,209.525,
2000-04,218.774,
2000-07,276.551,
2000-10,284.817,
2001-01,287.293,
2001-04,271.093,
2001-07,313.094,
2001-10,346.016,
2002-01,303.983,
2002-04,308.962,
2002-07,269.110,
2002-10,249.886,
2003-01,255.115,
2003-04,275.414,
2003-07,286.205,
2003-10,306.662,
2004-01,305.945,
2004-04,344.133,
2004-07,404.812,
2004-10,420.589,
2005-01,431.344,
2005-04,516.849,
2005-07,508.879,
2005-10,512.137,
2006-01,487.659,
2006-04,536.210,
2006-07,526.643,
2006-10,543.389,
2007-01,558.636,
2007-04,588.381,
2007-07,514.834,
2007-10,542.532,
2008-01,601.384,
2008-04,567.892,
2008-07,553.115,
2008-10,531.712,
2009-01,464.315,
2009-04,479.063,
2009-07,497.792,
2009-10,526.431,
2010-01,464.254,
2010-04,474.376,
2010-07,496.389,
2010-10,536.197,
2011-01,482.152,
2011-04,489.149,
2011-07,393.764,
2011-10,289.786,
2012-01,285.868,
2012-04,232.430,
2012-07,227.713,
2012-10,226.765,
2013-01,393.589,
2013-04,382.809,
2013-07,367.045,
2013-10,358.057,
2014-01,354.751,Provisional value
2014-04,363.886,Provisional value
2014-07,337.934,Provisional value
