"",BBDE1.M.DE.Y.AEA1.A2R260050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R260050.F.C.I10.A_FLAGS
"","Orders received / At constant prices / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:59,
1991-01,59.3,
1991-02,56.9,
1991-03,55.6,
1991-04,58.6,
1991-05,57.5,
1991-06,55.4,
1991-07,53.5,
1991-08,57.6,
1991-09,53.5,
1991-10,56.6,
1991-11,55.5,
1991-12,56.0,
1992-01,57.7,
1992-02,56.6,
1992-03,60.8,
1992-04,60.0,
1992-05,57.5,
1992-06,54.0,
1992-07,54.7,
1992-08,54.6,
1992-09,55.2,
1992-10,51.8,
1992-11,52.9,
1992-12,52.1,
1993-01,51.9,
1993-02,52.7,
1993-03,49.5,
1993-04,47.9,
1993-05,48.0,
1993-06,48.8,
1993-07,51.0,
1993-08,51.4,
1993-09,53.6,
1993-10,49.6,
1993-11,47.5,
1993-12,52.0,
1994-01,48.9,
1994-02,48.7,
1994-03,49.3,
1994-04,48.2,
1994-05,49.1,
1994-06,49.5,
1994-07,49.8,
1994-08,49.4,
1994-09,54.6,
1994-10,52.6,
1994-11,52.8,
1994-12,59.7,
1995-01,52.3,
1995-02,53.1,
1995-03,52.7,
1995-04,53.1,
1995-05,50.4,
1995-06,51.3,
1995-07,52.6,
1995-08,50.0,
1995-09,55.0,
1995-10,46.2,
1995-11,48.0,
1995-12,53.0,
1996-01,52.7,
1996-02,51.4,
1996-03,52.6,
1996-04,50.8,
1996-05,51.6,
1996-06,53.4,
1996-07,53.7,
1996-08,51.8,
1996-09,52.9,
1996-10,53.5,
1996-11,55.0,
1996-12,55.1,
1997-01,54.4,
1997-02,52.3,
1997-03,55.2,
1997-04,56.0,
1997-05,54.3,
1997-06,57.5,
1997-07,55.2,
1997-08,55.8,
1997-09,56.3,
1997-10,55.7,
1997-11,57.9,
1997-12,56.0,
1998-01,57.5,
1998-02,57.4,
1998-03,57.8,
1998-04,57.9,
1998-05,58.9,
1998-06,56.8,
1998-07,58.1,
1998-08,56.3,
1998-09,59.8,
1998-10,55.2,
1998-11,56.5,
1998-12,56.3,
1999-01,56.3,
1999-02,58.3,
1999-03,59.2,
1999-04,56.9,
1999-05,61.6,
1999-06,64.6,
1999-07,66.4,
1999-08,68.3,
1999-09,66.0,
1999-10,66.8,
1999-11,67.2,
1999-12,69.3,
2000-01,66.3,
2000-02,70.1,
2000-03,73.3,
2000-04,75.0,
2000-05,75.8,
2000-06,78.5,
2000-07,77.0,
2000-08,83.0,
2000-09,81.1,
2000-10,80.7,
2000-11,75.3,
2000-12,77.2,
2001-01,72.4,
2001-02,73.7,
2001-03,75.6,
2001-04,67.6,
2001-05,74.3,
2001-06,71.9,
2001-07,69.1,
2001-08,68.3,
2001-09,64.3,
2001-10,64.5,
2001-11,66.0,
2001-12,70.7,
2002-01,66.0,
2002-02,68.2,
2002-03,68.3,
2002-04,68.2,
2002-05,68.6,
2002-06,68.7,
2002-07,65.0,
2002-08,67.9,
2002-09,68.5,
2002-10,68.2,
2002-11,70.4,
2002-12,67.5,
2003-01,69.2,
2003-02,68.5,
2003-03,67.9,
2003-04,67.9,
2003-05,66.1,
2003-06,69.9,
2003-07,69.8,
2003-08,70.2,
2003-09,73.5,
2003-10,71.6,
2003-11,74.1,
2003-12,73.3,
2004-01,72.1,
2004-02,75.0,
2004-03,73.4,
2004-04,73.8,
2004-05,76.9,
2004-06,76.0,
2004-07,77.6,
2004-08,75.4,
2004-09,74.5,
2004-10,76.2,
2004-11,75.1,
2004-12,75.4,
2005-01,78.5,
2005-02,77.1,
2005-03,79.3,
2005-04,79.5,
2005-05,80.6,
2005-06,82.9,
2005-07,83.4,
2005-08,84.9,
2005-09,86.1,
2005-10,86.0,
2005-11,88.2,
2005-12,89.3,
2006-01,89.9,
2006-02,93.2,
2006-03,92.6,
2006-04,94.6,
2006-05,93.9,
2006-06,93.8,
2006-07,94.6,
2006-08,96.9,
2006-09,97.3,
2006-10,98.8,
2006-11,97.1,
2006-12,99.7,
2007-01,98.5,
2007-02,98.7,
2007-03,105.2,
2007-04,99.5,
2007-05,104.3,
2007-06,103.6,
2007-07,103.9,
2007-08,104.5,
2007-09,107.2,
2007-10,110.2,
2007-11,109.5,
2007-12,111.6,
2008-01,110.1,
2008-02,107.6,
2008-03,108.2,
2008-04,108.1,
2008-05,109.0,
2008-06,104.1,
2008-07,103.1,
2008-08,106.3,
2008-09,100.7,
2008-10,100.4,
2008-11,95.3,
2008-12,92.7,
2009-01,82.2,
2009-02,78.2,
2009-03,78.6,
2009-04,78.7,
2009-05,78.9,
2009-06,81.1,
2009-07,84.6,
2009-08,86.6,
2009-09,91.1,
2009-10,90.9,
2009-11,92.2,
2009-12,91.4,
2010-01,91.1,
2010-02,92.4,
