"",BBK01.OELI08G,BBK01.OELI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:10,
2002-01,30.382,
2002-04,30.189,
2002-07,30.537,
2002-10,31.643,
2003-01,31.937,
2003-04,32.113,
2003-07,32.279,
2003-10,32.849,
2004-01,33.268,
2004-04,33.268,
2004-07,33.102,
2004-10,33.793,
2005-01,34.030,
2005-04,33.698,
2005-07,33.540,
2005-10,34.228,
2006-01,34.006,
2006-04,33.469,
2006-07,32.754,
2006-10,32.103,
2007-01,30.902,
2007-04,29.938,
2007-07,29.124,
2007-10,29.320,
2008-01,28.389,
2008-04,27.601,
2008-07,26.852,
2008-10,27.397,
2009-01,28.113,
2009-04,28.116,
2009-07,28.807,
2009-10,30.630,
2010-01,32.126,
2010-04,32.710,
2010-07,33.566,
2010-10,34.857,
2011-01,36.237,
2011-04,36.086,
2011-07,36.079,
2011-10,36.360,
2012-01,36.369,
2012-04,36.139,
2012-07,36.704,
2012-10,37.446,
2013-01,37.898,
2013-04,37.715,
2013-07,37.927,
2013-10,38.340,
2014-01,38.458,
2014-04,37.950,
2014-07,38.676,
