"",BBK01.OEAC06U,BBK01.OEAC06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:10,
2002-01,0.297,
2002-04,0.310,
2002-07,0.315,
2002-10,0.303,
2003-01,0.308,
2003-04,0.302,
2003-07,0.308,
2003-10,0.290,
2004-01,0.293,
2004-04,0.291,
2004-07,0.288,
2004-10,0.275,
2005-01,0.273,
2005-04,0.284,
2005-07,0.294,
2005-10,0.291,
2006-01,0.299,
2006-04,0.308,
2006-07,0.318,
2006-10,0.322,
2007-01,0.325,
2007-04,0.344,
2007-07,0.358,
2007-10,0.357,
2008-01,0.360,
2008-04,0.383,
2008-07,0.395,
2008-10,0.387,
2009-01,0.389,
2009-04,0.415,
2009-07,0.441,
2009-10,0.430,
2010-01,0.443,
2010-04,0.472,
2010-07,0.483,
2010-10,0.470,
2011-01,0.471,
2011-04,0.487,
2011-07,0.521,
2011-10,0.517,
2012-01,0.517,
2012-04,0.540,
2012-07,0.561,
2012-10,0.547,
2013-01,0.551,
2013-04,0.573,
2013-07,0.603,
2013-10,0.593,
2014-01,0.607,
2014-04,0.639,
2014-07,0.666,
