"",BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / China / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:52,
1990-07,161876,
1990-08,161614,
1990-09,122475,
1990-10,176848,
1990-11,191508,
1990-12,206223,
1991-01,180620,
1991-02,96373,
1991-03,153067,
1991-04,139874,
1991-05,206379,
1991-06,123372,
1991-07,242400,
1991-08,152226,
1991-09,173072,
1991-10,148480,
1991-11,248846,
1991-12,213211,
1992-01,186252,
1992-02,228938,
1992-03,223182,
1992-04,238579,
1992-05,199277,
1992-06,230790,
1992-07,232495,
1992-08,209297,
1992-09,250658,
1992-10,365836,
1992-11,295360,
1992-12,276250,
1993-01,282624,
1993-02,454118,
1993-03,413925,
1993-04,419614,
1993-05,374908,
1993-06,458363,
1993-07,459332,
1993-08,386669,
1993-09,371031,
1993-10,326793,
1993-11,364715,
1993-12,595274,
1994-01,424242,
1994-02,417517,
1994-03,484064,
1994-04,504078,
1994-05,461204,
1994-06,392980,
1994-07,381260,
1994-08,427393,
1994-09,476802,
1994-10,363208,
1994-11,442020,
1994-12,489766,
1995-01,359303,
1995-02,378420,
1995-03,468239,
1995-04,316432,
1995-05,513857,
1995-06,368280,
1995-07,451714,
1995-08,467768,
1995-09,502024,
1995-10,534499,
1995-11,657358,
1995-12,495693,
1996-01,331108,
1996-02,404767,
1996-03,363420,
1996-04,493683,
1996-05,357887,
1996-06,347090,
1996-07,427597,
1996-08,465190,
1996-09,423328,
1996-10,613361,
1996-11,769758,
1996-12,569429,
1997-01,329535,
1997-02,397243,
1997-03,303483,
1997-04,400463,
1997-05,418841,
1997-06,392934,
1997-07,500010,
1997-08,399360,
1997-09,542963,
1997-10,519451,
1997-11,683445,
1997-12,546565,
1998-01,367357,
1998-02,402249,
1998-03,480722,
1998-04,526540,
1998-05,498762,
1998-06,542560,
1998-07,555964,
1998-08,527505,
1998-09,547721,
1998-10,539476,
1998-11,468350,
1998-12,627346,
1999-01,428875,
1999-02,508141,
1999-03,592639,
1999-04,500063,
1999-05,623417,
1999-06,619047,
1999-07,694029,
1999-08,540704,
1999-09,596077,
1999-10,511478,
1999-11,650574,
1999-12,683883,
2000-01,540359,
2000-02,570663,
2000-03,780231,
2000-04,596899,
2000-05,843018,
2000-06,737734,
2000-07,719098,
2000-08,851420,
2000-09,844662,
2000-10,961166,
2000-11,972730,
2000-12,1040796,
2001-01,837543,
2001-02,769857,
2001-03,1043174,
2001-04,984636,
2001-05,1057564,
2001-06,926481,
2001-07,1056732,
2001-08,1216238,
2001-09,942795,
2001-10,1137541,
2001-11,1131590,
2001-12,1013973,
2002-01,1087380,
2002-02,984304,
2002-03,1140738,
2002-04,1217920,
2002-05,1004440,
2002-06,1197665,
2002-07,1270377,
2002-08,1444869,
2002-09,1273445,
2002-10,1292515,
2002-11,1304739,
2002-12,1352340,
2003-01,1382269,
2003-02,1291828,
2003-03,1330033,
2003-04,1476837,
2003-05,1526590,
2003-06,1572515,
2003-07,1812162,
2003-08,1553580,
2003-09,1738176,
2003-10,1499135,
2003-11,1528424,
2003-12,1552995,
2004-01,1682218,
2004-02,1522483,
2004-03,1837918,
2004-04,2004436,
2004-05,1890990,
2004-06,1926382,
2004-07,1843391,
2004-08,1501159,
2004-09,1679339,
2004-10,1713400,
2004-11,1681995,
2004-12,1707978,
2005-01,1589630,
2005-02,1412224,
2005-03,1581457,
2005-04,1595508,
