"",BBK01.CEFN01,BBK01.CEFN01_FLAGS
"",Transferable deposits                                                     debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:41,
1999-01,97.5,
1999-04,94.4,
1999-07,99.8,
1999-10,100.2,
2000-01,95.9,
2000-04,99.1,
2000-07,95.7,
2000-10,112.3,
2001-01,100.4,
2001-04,104.0,
2001-07,105.9,
2001-10,125.8,
2002-01,106.1,
2002-04,112.9,
2002-07,117.2,
2002-10,135.3,
2003-01,115.1,
2003-04,125.0,
2003-07,127.3,
2003-10,140.5,
2004-01,132.1,
2004-04,138.6,
2004-07,139.5,
2004-10,144.8,
2005-01,139.0,
2005-04,146.2,
2005-07,149.6,
2005-10,165.1,
2006-01,153.7,
2006-04,157.4,
2006-07,158.0,
2006-10,176.6,
2007-01,167.0,
2007-04,169.1,
2007-07,167.3,
2007-10,178.4,
2008-01,167.4,
2008-04,164.5,
2008-07,175.4,
2008-10,189.8,
2009-01,192.8,
2009-04,209.4,
2009-07,226.1,
2009-10,247.6,
2010-01,245.7,
2010-04,243.2,
2010-07,244.5,
2010-10,242.2,
2011-01,241.7,
2011-04,237.5,
2011-07,244.8,
2011-10,267.0,
2012-01,260.2,
2012-04,268.6,
2012-07,286.7,
2012-10,318.1,
2013-01,293.1,
2013-04,297.7,
2013-07,316.7,
2013-10,328.5,
2014-01,312.3,
2014-04,313.7,
2014-07,333.8,
