"",BBK01.OEAA41U,BBK01.OEAA41U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:55,
2002-01,4.537,
2002-04,4.590,
2002-07,4.618,
2002-10,4.836,
2003-01,4.883,
2003-04,4.896,
2003-07,4.835,
2003-10,4.884,
2004-01,4.853,
2004-04,4.821,
2004-07,4.908,
2004-10,4.935,
2005-01,5.081,
2005-04,5.048,
2005-07,5.010,
2005-10,5.079,
2006-01,5.129,
2006-04,5.136,
2006-07,5.140,
2006-10,5.084,
2007-01,5.019,
2007-04,4.946,
2007-07,4.861,
2007-10,4.844,
2008-01,4.773,
2008-04,4.757,
2008-07,4.714,
2008-10,4.885,
2009-01,4.838,
2009-04,4.841,
2009-07,4.861,
2009-10,4.803,
2010-01,4.775,
2010-04,4.726,
2010-07,4.747,
2010-10,4.764,
2011-01,4.680,
2011-04,4.673,
2011-07,4.604,
2011-10,4.551,
2012-01,4.611,
2012-04,4.584,
2012-07,4.523,
2012-10,4.543,
2013-01,5.175,
2013-04,5.182,
2013-07,5.318,
2013-10,5.319,
2014-01,5.408,
2014-04,5.313,
2014-07,5.266,
