"",BBK01.OECO04V,BBK01.OECO04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:15,
2002-01,-0.032,
2002-04,-0.345,
2002-07,-,Nothing exists
2002-10,0.050,
2003-01,0.007,
2003-04,-0.031,
2003-07,0.051,
2003-10,-0.018,
2004-01,-0.020,
2004-04,-0.008,
2004-07,0.088,
2004-10,0.015,
2005-01,0.010,
2005-04,-0.039,
2005-07,-0.046,
2005-10,-0.112,
2006-01,-0.071,
2006-04,-0.059,
2006-07,-0.071,
2006-10,-0.079,
2007-01,0.007,
2007-04,-0.052,
2007-07,-0.085,
2007-10,-0.027,
2008-01,-0.045,
2008-04,0.018,
2008-07,-0.072,
2008-10,-0.024,
2009-01,0.050,
2009-04,0.041,
2009-07,0.061,
2009-10,0.013,
2010-01,0.076,
2010-04,-0.069,
2010-07,0.015,
2010-10,-0.006,
2011-01,-0.054,
2011-04,-0.049,
2011-07,-0.007,
2011-10,-0.004,
2012-01,0.221,
2012-04,-0.037,
2012-07,0.028,
2012-10,0.060,
2013-01,-0.043,
2013-04,-0.030,
2013-07,-0.037,
2013-10,0.012,
2014-01,-0.018,
2014-04,-0.025,
2014-07,0.029,
