"",BBK01.OELM03N,BBK01.OELM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:40,
2002-01,0.349,
2002-04,0.349,
2002-07,0.342,
2002-10,0.400,
2003-01,0.363,
2003-04,0.358,
2003-07,0.389,
2003-10,0.434,
2004-01,0.362,
2004-04,0.393,
2004-07,0.407,
2004-10,0.501,
2005-01,0.470,
2005-04,0.528,
2005-07,0.592,
2005-10,0.506,
2006-01,0.508,
2006-04,0.532,
2006-07,0.729,
2006-10,0.904,
2007-01,0.803,
2007-04,0.803,
2007-07,0.837,
2007-10,0.893,
2008-01,0.689,
2008-04,0.689,
2008-07,1.120,
2008-10,1.191,
2009-01,0.844,
2009-04,0.844,
2009-07,0.928,
2009-10,1.018,
2010-01,0.824,
2010-04,0.796,
2010-07,0.885,
2010-10,1.074,
2011-01,0.850,
2011-04,0.976,
2011-07,1.020,
2011-10,1.034,
2012-01,0.853,
2012-04,0.946,
2012-07,1.142,
2012-10,1.663,
2013-01,1.394,
2013-04,1.638,
2013-07,1.829,
2013-10,2.118,
2014-01,1.533,
2014-04,1.452,
2014-07,1.602,
