"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:18,
1971-12,2.931,
1972-01,2.996,
1972-02,3.111,
1972-03,3.108,
1972-04,3.094,
1972-05,3.076,
1972-06,3.068,
1972-07,2.926,
1972-08,2.934,
1972-09,2.842,
1972-10,2.846,
1972-11,2.991,
1972-12,3.067,
1973-01,3.032,
1973-02,3.005,
1973-03,2.999,
1973-04,3.012,
1973-05,2.999,
1973-06,2.976,
1973-07,3.021,
1973-08,3.036,
1973-09,3.009,
1973-10,2.999,
1973-11,2.994,
1973-12,3.112,
1974-01,3.078,
1974-02,3.066,
1974-03,3.085,
1974-04,3.086,
1974-05,3.087,
1974-06,3.077,
1974-07,3.133,
1974-08,3.100,
1974-09,3.085,
1974-10,3.140,
1974-11,3.133,
1974-12,2.931,
1975-01,3.104,
1975-02,3.111,
1975-03,3.190,
1975-04,3.264,
1975-05,3.236,
1975-06,3.195,
1975-07,3.265,
1975-08,3.263,
1975-09,3.161,
1975-10,3.223,
1975-11,3.136,
1975-12,2.988,
1976-01,3.013,
1976-02,3.020,
1976-03,3.054,
1976-04,3.067,
1976-05,3.037,
1976-06,3.050,
1976-07,3.050,
1976-08,3.061,
1976-09,3.063,
1976-10,3.033,
1976-11,3.019,
1976-12,3.004,
1977-01,3.059,
1977-02,3.118,
1977-03,3.322,
1977-04,3.300,
1977-05,3.285,
1977-06,3.285,
1977-07,3.342,
1977-08,3.345,
1977-09,3.339,
1977-10,3.352,
1977-11,3.320,
1977-12,3.408,
1978-01,3.434,
1978-02,3.555,
1978-03,3.563,
1978-04,3.557,
1978-05,3.484,
1978-06,3.459,
1978-07,3.533,
1978-08,3.522,
1978-09,3.577,
1978-10,3.598,
1978-11,3.389,
1978-12,3.594,
1979-01,3.586,
1979-02,3.580,
1979-03,3.553,
1979-04,3.629,
1979-05,3.652,
1979-06,3.507,
1979-07,3.675,
1979-08,3.671,
1979-09,3.717,
1979-10,3.702,
1979-11,3.589,
1979-12,3.591,
1980-01,3.624,
1980-02,3.637,
1980-03,3.697,
1980-04,3.696,
1980-05,3.756,
1980-06,3.720,
1980-07,3.728,
1980-08,3.593,
1980-09,3.679,
1980-10,3.743,
1980-11,3.804,
1980-12,3.827,
1981-01,3.980,
1981-02,4.061,
1981-03,4.038,
1981-04,4.037,
1981-05,4.108,
1981-06,4.740,
1981-07,4.812,
1981-08,4.841,
1981-09,4.843,
1981-10,4.811,
1981-11,4.684,
1981-12,4.710,
1982-01,4.841,
1982-02,4.903,
1982-03,4.901,
1982-04,4.954,
1982-05,4.956,
1982-06,4.948,
1982-07,5.153,
1982-08,5.159,
1982-09,5.173,
1982-10,5.136,
1982-11,5.089,
1982-12,4.882,
1983-01,4.852,
1983-02,4.787,
1983-03,4.815,
1983-04,4.818,
1983-05,4.928,
1983-06,4.890,
1983-07,5.212,
1983-08,5.199,
1983-09,5.218,
1983-10,5.221,
1983-11,5.192,
1983-12,5.180,
1984-01,5.493,
1984-02,5.523,
1984-03,5.502,
1984-04,5.536,
1984-05,5.491,
1984-06,5.176,
1984-07,5.219,
1984-08,5.333,
1984-09,5.369,
1984-10,4.939,
1984-11,4.992,
1984-12,4.962,
1985-01,5.136,
1985-02,5.693,
1985-03,5.757,
1985-04,5.934,
1985-05,5.962,
1985-06,6.194,
1985-07,6.104,
1985-08,6.122,
1985-09,6.022,
1985-10,6.017,
1985-11,6.200,
1985-12,6.031,
1986-01,6.078,
1986-02,6.242,
1986-03,6.066,
1986-04,6.269,
1986-05,6.074,
1986-06,6.238,
1986-07,6.561,
1986-08,6.878,
1986-09,6.901,
1986-10,6.940,
1986-11,7.103,
1986-12,6.939,
1987-01,7.687,
1987-02,7.804,
1987-03,8.280,
1987-04,8.342,
1987-05,8.395,
1987-06,8.756,
1987-07,8.823,
1987-08,8.945,
1987-09,8.991,
1987-10,9.207,
1987-11,9.362,
1987-12,9.364,
1988-01,9.435,
1988-02,9.435,
1988-03,9.540,
1988-04,10.406,
1988-05,10.431,
1988-06,10.671,
1988-07,10.839,
1988-08,10.828,
1988-09,11.040,
1988-10,11.131,
1988-11,11.435,
1988-12,12.362,
1989-01,12.815,
1989-02,12.646,
1989-03,12.699,
1989-04,13.600,
1989-05,13.735,
1989-06,13.733,
1989-07,13.897,
1989-08,13.943,
1989-09,13.811,
1989-10,13.992,
1989-11,13.821,
1989-12,13.981,
1990-01,14.387,
1990-02,14.251,
1990-03,14.469,
1990-04,15.230,
1990-05,15.372,
1990-06,15.049,
1990-07,15.146,
1990-08,14.955,
1990-09,15.290,
1990-10,15.337,
1990-11,15.438,
1990-12,15.292,
1991-01,15.422,
1991-02,16.115,
1991-03,16.558,
1991-04,16.670,
1991-05,16.751,
1991-06,17.019,
1991-07,17.148,
1991-08,17.355,
1991-09,17.567,
1991-10,17.743,
1991-11,17.818,
1991-12,18.203,
1992-01,18.945,
1992-02,18.909,
1992-03,19.347,
1992-04,19.541,
1992-05,19.784,
1992-06,20.300,
1992-07,20.476,
1992-08,20.606,
1992-09,20.668,
1992-10,21.022,
1992-11,21.279,
1992-12,21.966,
1993-01,22.396,
1993-02,23.270,
1993-03,23.117,
1993-04,23.216,
1993-05,23.349,
1993-06,23.661,
1993-07,23.727,
1993-08,23.984,
1993-09,23.756,
1993-10,23.660,
1993-11,23.765,
1993-12,23.627,
1994-01,23.822,
1994-02,24.169,
1994-03,24.648,
1994-04,24.932,
1994-05,25.214,
1994-06,25.555,
1994-07,26.584,
1994-08,26.958,
1994-09,27.246,
1994-10,26.791,
1994-11,26.929,
1994-12,27.728,
1995-01,29.087,
1995-02,28.921,
1995-03,28.742,
1995-04,28.991,
1995-05,29.333,
1995-06,30.477,
1995-07,31.056,
1995-08,31.467,
1995-09,31.582,
1995-10,32.464,
1995-11,32.734,
1995-12,32.176,
1996-01,32.018,
1996-02,32.406,
1996-03,32.342,
1996-04,32.547,
1996-05,32.388,
1996-06,32.304,
