"",BBK01.OELB06N,BBK01.OELB06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:18,
2002-01,11.658,
2002-04,11.750,
2002-07,11.873,
2002-10,11.975,
2003-01,11.710,
2003-04,11.734,
2003-07,11.596,
2003-10,11.578,
2004-01,11.608,
2004-04,11.543,
2004-07,11.017,
2004-10,10.678,
2005-01,10.617,
2005-04,10.372,
2005-07,10.121,
2005-10,9.543,
2006-01,9.556,
2006-04,9.294,
2006-07,9.432,
2006-10,9.133,
2007-01,9.093,
2007-04,9.116,
2007-07,8.900,
2007-10,8.905,
2008-01,8.908,
2008-04,8.793,
2008-07,8.862,
2008-10,8.465,
2009-01,8.257,
2009-04,8.146,
2009-07,8.014,
2009-10,7.774,
2010-01,7.836,
2010-04,7.740,
2010-07,7.526,
2010-10,7.076,
2011-01,7.017,
2011-04,7.271,
2011-07,7.115,
2011-10,7.000,
2012-01,7.080,
2012-04,7.080,
2012-07,7.114,
2012-10,7.162,
2013-01,7.320,
2013-04,7.187,
2013-07,7.047,
2013-10,6.881,
2014-01,6.924,
2014-04,6.923,
2014-07,6.885,
