"",BBK01.OXA8T4,BBK01.OXA8T4_FLAGS
"",Net total of housing loans sold to/bought from domestic households and non-profit institutions during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:49,
2009-12,-,Nothing exists
2010-01,0.003,
2010-02,-,Nothing exists
2010-03,0.002,
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-0.003,
2010-07,-,Nothing exists
2010-08,0.002,
2010-09,0.002,
2010-10,0.070,
2010-11,0.001,
2010-12,0.004,
2011-01,0.005,
2011-02,0.001,
2011-03,0.002,
2011-04,0.004,
2011-05,0.005,
2011-06,0.005,
2011-07,0.001,
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,0.003,
2011-11,0.005,
2011-12,-,Nothing exists
2012-01,0.001,
2012-02,0.001,
2012-03,0.002,
2012-04,0.003,
2012-05,0.002,
2012-06,-,Nothing exists
2012-07,0.009,
2012-08,0.005,
2012-09,0.008,
2012-10,0.004,
2012-11,-,Nothing exists
2012-12,-,Nothing exists
2013-01,0.004,
2013-02,0.008,
2013-03,0.003,
2013-04,0.002,
2013-05,0.002,
2013-06,0.004,
2013-07,0.005,
2013-08,-,Nothing exists
2013-09,0.007,
2013-10,0.004,
2013-11,0.007,
2013-12,0.008,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,0.004,
2014-05,0.006,
2014-06,0.007,
2014-07,0.005,
2014-08,0.003,
2014-09,0.005,
2014-10,0.005,
2014-11,0.002,
2014-12,-,Nothing exists
