"",BBK01.OEYB14K,BBK01.OEYB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:00,
2002-01,0.358,
2002-04,0.288,
2002-07,0.310,
2002-10,0.346,
2003-01,0.327,
2003-04,0.340,
2003-07,0.219,
2003-10,0.203,
2004-01,0.232,
2004-04,0.216,
2004-07,0.223,
2004-10,0.205,
2005-01,0.205,
2005-04,0.215,
2005-07,0.192,
2005-10,0.162,
2006-01,0.161,
2006-04,0.126,
2006-07,0.182,
2006-10,0.152,
2007-01,0.185,
2007-04,0.163,
2007-07,0.097,
2007-10,0.125,
2008-01,0.108,
2008-04,0.133,
2008-07,0.153,
2008-10,0.089,
2009-01,0.087,
2009-04,0.097,
2009-07,0.123,
2009-10,0.132,
2010-01,0.128,
2010-04,0.121,
2010-07,0.089,
2010-10,0.066,
2011-01,0.073,
2011-04,0.066,
2011-07,0.067,
2011-10,0.069,
2012-01,0.044,
2012-04,0.047,
2012-07,0.053,
2012-10,0.078,
2013-01,0.072,
2013-04,0.043,
2013-07,0.048,
2013-10,0.048,
2014-01,0.043,
2014-04,0.038,
2014-07,0.041,
