"",BBK01.OEXK01G,BBK01.OEXK01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:56,
2002-01,2.136,
2002-04,2.333,
2002-07,2.305,
2002-10,2.297,
2003-01,2.409,
2003-04,2.408,
2003-07,2.388,
2003-10,2.413,
2004-01,2.513,
2004-04,2.416,
2004-07,2.483,
2004-10,2.718,
2005-01,1.371,
2005-04,1.363,
2005-07,0.977,
2005-10,1.040,
2006-01,1.162,
2006-04,1.172,
2006-07,1.146,
2006-10,1.015,
2007-01,1.057,
2007-04,1.102,
2007-07,1.076,
2007-10,1.132,
2008-01,1.130,
2008-04,1.154,
2008-07,1.195,
2008-10,1.138,
2009-01,1.090,
2009-04,1.198,
2009-07,1.148,
2009-10,1.112,
2010-01,1.109,
2010-04,1.169,
2010-07,1.137,
2010-10,1.200,
2011-01,1.253,
2011-04,1.367,
2011-07,1.384,
2011-10,1.425,
2012-01,1.457,
2012-04,1.475,
2012-07,1.624,
2012-10,1.692,
2013-01,1.733,
2013-04,1.763,
2013-07,1.759,
2013-10,1.801,
2014-01,1.658,
2014-04,1.613,
2014-07,1.912,
