"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.PT.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.PT.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Portugal,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:21,
2009-09,262,
2009-10,253,
2009-11,265,
2009-12,284,
2010-01,260,
2010-02,255,
2010-03,273,
2010-04,241,
2010-05,237,
2010-06,225,
2010-07,239,
2010-08,244,
2010-09,273,
2010-10,307,
2010-11,282,
2010-12,284,
2011-01,303,
2011-02,323,
2011-03,318,
2011-04,316,
2011-05,336,
2011-06,317,
2011-07,292,
2011-08,264,
2011-09,259,
2011-10,277,
2011-11,257,
2011-12,246,
2012-01,229,
2012-02,219,
2012-03,229,
2012-04,206,
2012-05,191,
2012-06,178,
2012-07,185,
2012-08,193,
2012-09,183,
2012-10,182,
2012-11,174,
2012-12,185,
2013-01,208,
2013-02,204,
2013-03,207,
2013-04,226,
2013-05,211,
2013-06,205,
2013-07,210,
2013-08,210,
2013-09,222,
2013-10,237,
2013-11,255,
2013-12,270,
2014-01,265,
2014-02,291,
2014-03,317,
2014-04,337,
2014-05,326,
2014-06,341,
2014-07,320,
2014-08,325,
2014-09,312,
2014-10,288,
2014-11,273,
