"",BBK01.SUD115S,BBK01.SUD115S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans for consumption to households with an initial rate fixation of over 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:58,
2000-01,8.4557,Estimated value
2000-02,8.4557,Estimated value
2000-03,8.4557,Estimated value
2000-04,8.4474,Estimated value
2000-05,8.5387,Estimated value
2000-06,8.6716,Estimated value
2000-07,8.7215,Estimated value
2000-08,8.8045,Estimated value
2000-09,8.8378,Estimated value
2000-10,8.8793,Estimated value
2000-11,8.9125,Estimated value
2000-12,8.9707,Estimated value
2001-01,8.9873,Estimated value
2001-02,8.9873,Estimated value
2001-03,8.9374,Estimated value
2001-04,8.8959,Estimated value
2001-05,8.9291,Estimated value
2001-06,8.9374,Estimated value
2001-07,8.9541,Estimated value
2001-08,8.9707,Estimated value
2001-09,8.9707,Estimated value
2001-10,8.9374,Estimated value
2001-11,8.8461,Estimated value
2001-12,8.8378,Estimated value
2002-01,8.8461,Estimated value
2002-02,8.9125,Estimated value
2002-03,8.8959,Estimated value
2002-04,8.8710,Estimated value
2002-05,8.9125,Estimated value
2002-06,8.9125,Estimated value
2002-07,8.9208,Estimated value
2002-08,8.8959,Estimated value
2002-09,8.9374,Estimated value
2002-10,8.9208,Estimated value
2002-11,8.8876,Estimated value
2002-12,8.8378,Estimated value
