"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:31,
1991-01,8.076,
1991-04,-4.686,
1991-07,7.654,
1991-10,92.721,
1992-01,2.246,
1992-04,-41.127,
1992-07,-47.563,
1992-10,4.094,
1993-01,144.826,
1993-04,-137.874,
1993-07,699.937,
1993-10,13.204,
1994-01,75.453,
1994-04,-75.508,
1994-07,145.442,
1994-10,70.210,
1995-01,96.707,
1995-04,81.803,
1995-07,41.094,
1995-10,413.511,
1996-01,585.070,
1996-04,-8.307,
1996-07,-90.772,
1996-10,-154.758,
1997-01,668.863,
1997-04,225.653,
1997-07,533.280,
1997-10,628.327,
1998-01,1072.203,
1998-04,1233.389,
1998-07,1767.030,
1998-10,965.541,
1999-01,1871.998,
1999-04,2631.218,
1999-07,1344.436,
1999-10,1103.824,
2000-01,1601.330,
2000-04,-334.919,
2000-07,127.705,
2000-10,-21.623,
2001-01,-18.931,
2001-04,988.998,
2001-07,254.060,
2001-10,-201.833,
2002-01,1301.520,
2002-04,823.592,
2002-07,345.069,
2002-10,-293.073,
2003-01,20.521,
2003-04,-164.274,
2003-07,-469.025,
2003-10,-990.478,
2004-01,184.870,
2004-04,-136.844,
2004-07,-948.094,
2004-10,649.675,
2005-01,125.839,
2005-04,547.426,
2005-07,2841.065,
2005-10,38.864,
2006-01,-851.688,
2006-04,113.516,
2006-07,307.153,
2006-10,1448.455,
2007-01,1466.511,
2007-04,2743.546,
2007-07,-1305.750,
2007-10,855.547,
2008-01,424.037,
2008-04,1607.236,
2008-07,1210.311,
2008-10,-399.602,
2009-01,568.481,
2009-04,1066.401,
2009-07,1070.062,
2009-10,1246.243,
2010-01,588.590,
2010-04,-536.379,
2010-07,-86.255,
2010-10,2255.563,
2011-01,392.875,
2011-04,-2210.789,
2011-07,-1889.127,
2011-10,-1018.271,
2012-01,-2155.693,
2012-04,-1997.827,
2012-07,-490.474,
2012-10,-417.636,
2013-01,199.652,
2013-04,-392.426,
2013-07,-1190.819,
2013-10,36.296,
2014-01,643.782,Provisional value
2014-04,-590.611,Provisional value
2014-07,381.347,Provisional value
2014-10,-1030.770,Provisional value
