"",BBK01.OEAE29I,BBK01.OEAE29I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:29,
2002-01,24.351,
2002-04,24.519,
2002-07,23.545,
2002-10,22.963,
2003-01,22.602,
2003-04,22.366,
2003-07,22.207,
2003-10,21.404,
2004-01,21.425,
2004-04,21.489,
2004-07,21.301,
2004-10,21.020,
2005-01,21.038,
2005-04,20.981,
2005-07,20.581,
2005-10,20.002,
2006-01,20.148,
2006-04,19.844,
2006-07,19.987,
2006-10,19.697,
2007-01,19.491,
2007-04,19.239,
2007-07,19.259,
2007-10,19.181,
2008-01,19.006,
2008-04,19.467,
2008-07,19.452,
2008-10,19.452,
2009-01,20.535,
2009-04,20.895,
2009-07,21.684,
2009-10,23.146,
2010-01,22.649,
2010-04,20.949,
2010-07,22.522,
2010-10,22.900,
2011-01,22.134,
2011-04,22.835,
2011-07,23.199,
2011-10,23.674,
2012-01,23.734,
2012-04,24.069,
2012-07,24.360,
2012-10,24.756,
2013-01,25.021,
2013-04,25.159,
2013-07,25.457,
2013-10,25.726,
2014-01,25.597,
2014-04,25.554,
2014-07,25.520,
