"",BBEX3.M.MYR.USD.CA.AB.A01,BBEX3.M.MYR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Malaysia  / USD 1 = MYR ... (selling),
unit,MYR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:35,
1990-01,2.7085,
1990-02,2.7115,
1990-03,2.7360,
1990-04,2.7245,
1990-05,2.7110,
1990-06,2.7195,
1990-07,2.7095,
1990-08,2.6980,
1990-09,2.7095,
1990-10,2.7100,
1990-11,2.7115,
1990-12,2.7120,
1991-01,2.7085,
1991-02,2.7255,
1991-03,2.7815,
1991-04,2.7675,
1991-05,2.7675,
1991-06,2.7910,
1991-07,2.7980,
1991-08,2.7950,
1991-09,2.7495,
1991-10,2.7595,
1991-11,2.7605,
1991-12,2.7345,
1992-01,2.6430,
1992-02,2.6000,
1992-03,2.6000,
1992-04,2.5370,
1992-05,2.5310,
1992-06,2.5200,
1992-07,2.5120,
1992-08,2.5005,
1992-09,2.5190,
1992-10,2.5185,
1992-11,2.5440,
1992-12,2.6210,
1993-01,2.6430,
1993-02,2.6430,
1993-03,2.6010,
1993-04,2.5835,
1993-05,2.5665,
1993-06,2.5910,
1993-07,2.5780,
1993-08,2.5600,
1993-09,2.5620,
1993-10,2.5710,
1993-11,2.5670,
1993-12,2.7600,
1994-01,2.7780,
1994-02,2.7435,
1994-03,2.6985,
1994-04,2.7045,
1994-05,2.5890,
1994-06,2.6220,
1994-07,2.6050,
1994-08,2.5680,
1994-09,2.5800,
1994-10,2.5650,
1994-11,2.5700,
1994-12,2.5730,
1995-01,2.5690,
1995-02,2.5640,
1995-03,2.5480,
1995-04,2.4855,
1995-05,2.4780,
1995-06,2.4505,
1995-07,2.4685,
1995-08,2.5080,
1995-09,2.5210,
1995-10,2.5580,
1995-11,2.5530,
1995-12,2.5510,
1996-01,2.5760,
1996-02,2.5645,
1996-03,2.5480,
1996-04,2.5065,
1996-05,2.5125,
1996-06,2.5065,
1996-07,2.5055,
1996-08,2.5070,
1996-09,2.5200,
1996-10,2.5420,
1996-11,2.5390,
1996-12,2.5407,
1997-01,2.4960,
1997-02,2.4945,
1997-03,2.4930,
1997-04,2.5230,
1997-05,2.5235,
1997-06,2.5390,
1997-07,2.6680,
1997-08,2.9775,
1997-09,3.2700,
1997-10,3.4950,
1997-11,3.5560,
1997-12,3.9450,
1998-01,4.6550,
1998-02,3.8650,
1998-03,3.7100,
1998-04,3.7900,
1998-05,3.9000,
1998-06,4.2400,
1998-07,4.1730,
1998-08,4.2480,
1998-09,3.8250,
1998-10,3.8250,
1998-11,3.8250,
1998-12,3.8250,
1999-01,3.8250,
1999-02,3.8250,
1999-03,3.8250,
1999-04,3.8250,
1999-05,3.8250,
1999-06,3.8250,
1999-07,3.8250,
1999-08,3.8250,
1999-09,3.8250,
1999-10,3.8250,
1999-11,3.8250,
1999-12,3.8250,
2000-01,3.8250,
2000-02,3.8250,
2000-03,3.8250,
2000-04,3.8250,
2000-05,3.8250,
2000-06,3.8250,
2000-07,3.8250,
2000-08,3.8250,
2000-09,3.8250,
2000-10,3.8250,
2000-11,3.8250,
2000-12,3.8250,
2001-01,3.8250,
2001-02,3.8250,
2001-03,3.8250,
2001-04,3.8250,
2001-05,3.8250,
2001-06,3.8250,
2001-07,3.8250,
2001-08,3.8250,
2001-09,3.8250,
2001-10,3.8250,
2001-11,3.8250,
2001-12,3.8250,
2002-01,3.8250,
2002-02,3.8250,
2002-03,3.8250,
2002-04,3.8250,
2002-05,3.8250,
2002-06,3.8250,
2002-07,3.8250,
2002-08,3.8250,
2002-09,3.8250,
2002-10,3.8250,
2002-11,3.8250,
2002-12,3.8250,
2003-01,3.8250,
2003-02,3.8250,
2003-03,3.8250,
2003-04,3.8250,
2003-05,3.8250,
2003-06,3.8250,
2003-07,3.8250,
2003-08,3.8250,
2003-09,3.8250,
2003-10,3.8250,
2003-11,3.8250,
2003-12,3.8250,
2004-01,3.8250,
2004-02,3.8250,
2004-03,3.8250,
2004-04,3.8250,
2004-05,3.8250,
2004-06,3.8250,
2004-07,3.8250,
2004-08,3.8250,
2004-09,3.8250,
2004-10,3.8250,
2004-11,3.8250,
2004-12,3.8250,
2005-01,3.8250,
2005-02,3.8250,
2005-03,3.8250,
2005-04,3.8250,
2005-05,3.8250,
2005-06,3.8250,
2005-07,3.7845,
2005-08,3.7975,
2005-09,3.8032,
2005-10,3.8020,
2005-11,3.8080,
2005-12,3.8025,
2006-01,3.7780,
2006-02,3.7420,
2006-03,3.7100,
2006-04,3.6520,
2006-05,3.6600,
2006-06,3.7010,
2006-07,3.6900,
2006-08,3.7150,
2006-09,3.7200,
2006-10,3.6760,
2006-11,3.6620,
2006-12,3.5640,
2007-01,3.5350,
2007-02,3.5400,
2007-03,3.4886,
2007-04,3.4550,
2007-05,3.4295,
2007-06,3.4848,
2007-07,3.4876,
2007-08,3.5274,
2007-09,3.4477,
2007-10,3.3835,
2007-11,3.4052,
2007-12,3.3512,
2008-01,3.2674,
2008-02,3.2245,
2008-03,3.2295,
2008-04,3.1830,
2008-05,3.2930,
2008-06,3.2997,
2008-07,3.2972,
2008-08,3.4214,
2008-09,3.4820,
2008-10,3.6168,
2008-11,3.6517,
2008-12,3.5143,
2009-01,3.6466,
2009-02,3.7294,
2009-03,3.6941,
2009-04,3.6183,
2009-05,3.5451,
2009-06,3.5673,
2009-07,3.5820,
2009-08,3.5689,
2009-09,3.5194,
2009-10,3.4416,
2009-11,3.3951,
2009-12,3.4618,
2010-01,3.4610,
2010-02,3.4643,comment
2010-03,3.3027,
2010-04,3.2204,
2010-05,3.2951,
2010-06,3.3042,
2010-07,3.2350,
2010-08,3.1638,
2010-09,3.1159,
2010-10,3.1366,
2010-11,3.1916,
2010-12,3.1184,
2011-01,3.0931,
2011-02,3.0850,
2011-03,3.0563,
2011-04,2.9982,
2011-05,3.0315,
2011-06,3.0558,
2011-07,2.9820,
2011-08,3.0083,
2011-09,3.2142,
2011-10,3.0982,
2011-11,3.2042,
2011-12,3.2032,
2012-01,3.0871,
2012-02,3.0285,
2012-03,3.0992,
2012-04,3.0664,
2012-05,3.2184,
2012-06,3.2317,
2012-07,3.1852,
2012-08,3.1604,
2012-09,3.1023,
2012-10,3.0836,
2012-11,3.0790,
2012-12,3.0962,
2013-01,3.1179,
2013-02,3.1230,
2013-03,3.1285,
2013-04,3.0623,
2013-05,3.1023,
2013-06,3.2114,
2013-07,3.2812,
2013-08,3.3323,
2013-09,3.2908,
2013-10,3.1922,
2013-11,3.2670,
2013-12,3.3262,
2014-01,3.3828,
2014-02,3.3105,
2014-03,3.2984,
2014-04,3.2954,
2014-05,3.2488,
2014-06,3.2468,
2014-07,3.2236,
2014-08,3.1932,
2014-09,3.3130,
2014-10,3.3191,
2014-11,3.3995,
2014-12,3.5324,
2015-01,3.6730,
