"",BBK01.OECI09K,BBK01.OECI09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:14,
2002-01,0.148,
2002-04,0.145,
2002-07,0.144,
2002-10,0.143,
2003-01,0.137,
2003-04,0.132,
2003-07,0.129,
2003-10,0.129,
2004-01,0.129,
2004-04,0.127,
2004-07,0.121,
2004-10,0.129,
2005-01,0.131,
2005-04,0.128,
2005-07,0.120,
2005-10,0.119,
2006-01,0.118,
2006-04,0.119,
2006-07,0.128,
2006-10,0.135,
2007-01,0.152,
2007-04,0.161,
2007-07,0.171,
2007-10,0.187,
2008-01,0.204,
2008-04,0.224,
2008-07,0.240,
2008-10,0.361,
2009-01,0.367,
2009-04,0.371,
2009-07,0.365,
2009-10,0.309,
2010-01,0.270,
2010-04,0.255,
2010-07,0.242,
2010-10,0.253,
2011-01,0.268,
2011-04,0.280,
2011-07,0.286,
2011-10,0.288,
2012-01,0.282,
2012-04,0.272,
2012-07,0.249,
2012-10,0.209,
2013-01,0.180,
2013-04,0.165,
2013-07,0.158,
2013-10,0.155,
2014-01,0.152,
2014-04,0.142,
2014-07,0.162,
