"",BBK01.OECB05T,BBK01.OECB05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:02,
2002-01,4.111,
2002-04,4.092,
2002-07,4.024,
2002-10,3.944,
2003-01,3.850,
2003-04,3.828,
2003-07,3.799,
2003-10,3.645,
2004-01,3.584,
2004-04,3.545,
2004-07,3.451,
2004-10,3.547,
2005-01,4.302,
2005-04,4.272,
2005-07,4.266,
2005-10,4.203,
2006-01,4.160,
2006-04,4.137,
2006-07,4.194,
2006-10,4.110,
2007-01,4.049,
2007-04,4.129,
2007-07,4.064,
2007-10,4.034,
2008-01,4.259,
2008-04,4.284,
2008-07,4.296,
2008-10,4.138,
2009-01,4.124,
2009-04,4.473,
2009-07,4.366,
2009-10,4.354,
2010-01,4.274,
2010-04,4.257,
2010-07,4.808,
2010-10,4.596,
2011-01,4.852,
2011-04,4.807,
2011-07,4.749,
2011-10,4.684,
2012-01,4.719,
2012-04,4.694,
2012-07,4.642,
2012-10,4.587,
2013-01,5.181,
2013-04,4.574,
2013-07,4.590,
2013-10,4.326,
2014-01,4.616,
2014-04,4.573,
2014-07,4.834,
