"",BBK01.OEXM03H,BBK01.OEXM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:41,
2002-01,1.177,
2002-04,1.175,
2002-07,1.113,
2002-10,1.108,
2003-01,0.991,
2003-04,0.835,
2003-07,0.535,
2003-10,0.657,
2004-01,0.484,
2004-04,0.588,
2004-07,0.551,
2004-10,0.596,
2005-01,0.475,
2005-04,0.396,
2005-07,0.417,
2005-10,0.504,
2006-01,0.409,
2006-04,0.514,
2006-07,0.537,
2006-10,0.693,
2007-01,0.739,
2007-04,0.747,
2007-07,0.771,
2007-10,0.813,
2008-01,0.705,
2008-04,0.650,
2008-07,0.744,
2008-10,0.696,
2009-01,0.628,
2009-04,0.723,
2009-07,0.683,
2009-10,0.719,
2010-01,0.520,
2010-04,0.486,
2010-07,0.690,
2010-10,0.701,
2011-01,0.475,
2011-04,0.548,
2011-07,0.524,
2011-10,0.610,
2012-01,0.566,
2012-04,0.616,
2012-07,0.585,
2012-10,0.558,
2013-01,1.054,
2013-04,1.060,
2013-07,1.162,
2013-10,1.198,
2014-01,1.394,
2014-04,1.298,
2014-07,1.564,
