"",BBK01.OEAF33J,BBK01.OEAF33J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:55,
2002-01,5.850,
2002-04,5.888,
2002-07,5.495,
2002-10,5.533,
2003-01,5.552,
2003-04,5.577,
2003-07,5.681,
2003-10,5.754,
2004-01,5.730,
2004-04,5.756,
2004-07,5.786,
2004-10,5.826,
2005-01,6.372,
2005-04,6.409,
2005-07,6.485,
2005-10,6.529,
2006-01,6.540,
2006-04,6.514,
2006-07,6.514,
2006-10,6.507,
2007-01,6.441,
2007-04,6.437,
2007-07,6.400,
2007-10,6.383,
2008-01,6.316,
2008-04,6.337,
2008-07,6.231,
2008-10,6.218,
2009-01,6.174,
2009-04,6.158,
2009-07,5.658,
2009-10,5.446,
2010-01,2.719,
2010-04,5.553,
2010-07,5.561,
2010-10,5.554,
2011-01,5.502,
2011-04,5.339,
2011-07,5.512,
2011-10,5.053,
2012-01,5.495,
2012-04,5.579,
2012-07,5.596,
2012-10,5.732,
2013-01,5.740,
2013-04,5.857,
2013-07,5.906,
2013-10,5.943,
2014-01,5.733,
2014-04,5.798,
2014-07,5.619,
