"",BBK01.OELK03O,BBK01.OELK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:26,
2002-01,0.544,
2002-04,0.534,
2002-07,0.525,
2002-10,0.526,
2003-01,0.513,
2003-04,0.488,
2003-07,0.471,
2003-10,0.477,
2004-01,0.461,
2004-04,0.432,
2004-07,0.430,
2004-10,0.427,
2005-01,0.409,
2005-04,0.393,
2005-07,0.392,
2005-10,0.414,
2006-01,0.420,
2006-04,0.431,
2006-07,0.453,
2006-10,0.481,
2007-01,0.525,
2007-04,0.544,
2007-07,0.587,
2007-10,0.652,
2008-01,0.667,
2008-04,0.703,
2008-07,0.766,
2008-10,0.882,
2009-01,0.758,
2009-04,0.694,
2009-07,0.620,
2009-10,0.568,
2010-01,0.513,
2010-04,0.502,
2010-07,0.481,
2010-10,0.494,
2011-01,0.496,
2011-04,0.503,
2011-07,0.523,
2011-10,0.536,
2012-01,0.532,
2012-04,0.517,
2012-07,0.446,
2012-10,0.410,
2013-01,0.374,
2013-04,0.325,
2013-07,0.321,
2013-10,0.324,
2014-01,0.334,
2014-04,0.349,
2014-07,0.337,
