"",BBK01.OECL01T,BBK01.OECL01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:23,
2002-01,1.098,
2002-04,1.058,
2002-07,1.063,
2002-10,1.093,
2003-01,1.036,
2003-04,1.017,
2003-07,1.017,
2003-10,1.043,
2004-01,0.999,
2004-04,0.985,
2004-07,0.982,
2004-10,1.134,
2005-01,2.166,
2005-04,2.149,
2005-07,2.130,
2005-10,2.158,
2006-01,2.146,
2006-04,2.112,
2006-07,2.114,
2006-10,2.150,
2007-01,2.161,
2007-04,2.192,
2007-07,2.206,
2007-10,2.290,
2008-01,2.311,
2008-04,2.343,
2008-07,2.427,
2008-10,2.568,
2009-01,2.572,
2009-04,2.515,
2009-07,2.475,
2009-10,2.498,
2010-01,2.467,
2010-04,2.447,
2010-07,2.465,
2010-10,2.508,
2011-01,2.492,
2011-04,2.473,
2011-07,2.499,
2011-10,2.596,
2012-01,2.715,
2012-04,2.742,
2012-07,2.786,
2012-10,2.845,
2013-01,2.820,
2013-04,2.818,
2013-07,2.801,
2013-10,2.758,
2014-01,2.764,
2014-04,2.866,
2014-07,2.921,
