"",BBK01.OEBB07K,BBK01.OEBB07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:09,
2002-01,2.911,
2002-04,2.887,
2002-07,2.985,
2002-10,3.096,
2003-01,3.301,
2003-04,3.903,
2003-07,4.924,
2003-10,4.461,
2004-01,6.007,
2004-04,4.987,
2004-07,5.371,
2004-10,6.055,
2005-01,4.974,
2005-04,4.948,
2005-07,5.075,
2005-10,5.149,
2006-01,5.209,
2006-04,5.061,
2006-07,4.894,
2006-10,5.097,
2007-01,5.035,
2007-04,5.211,
2007-07,5.438,
2007-10,5.434,
2008-01,5.611,
2008-04,5.869,
2008-07,6.055,
2008-10,6.192,
2009-01,6.130,
2009-04,6.721,
2009-07,6.584,
2009-10,6.854,
2010-01,6.686,
2010-04,5.522,
2010-07,5.539,
2010-10,5.137,
2011-01,5.117,
2011-04,5.158,
2011-07,5.760,
2011-10,5.519,
2012-01,5.169,
2012-04,5.295,
2012-07,5.251,
2012-10,5.093,
2013-01,5.455,
2013-04,5.639,
2013-07,5.139,
2013-10,5.230,
2014-01,5.152,
2014-04,5.339,
2014-07,5.446,
