"",BBK01.OEAO04L,BBK01.OEAO04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:45,
2002-01,-0.445,
2002-04,5.483,
2002-07,0.520,
2002-10,-0.320,
2003-01,0.171,
2003-04,0.369,
2003-07,-1.599,
2003-10,0.089,
2004-01,0.483,
2004-04,-0.065,
2004-07,-2.851,
2004-10,-0.170,
2005-01,-0.343,
2005-04,-0.428,
2005-07,-0.024,
2005-10,0.926,
2006-01,0.074,
2006-04,-0.018,
2006-07,-0.156,
2006-10,-0.871,
2007-01,-1.111,
2007-04,-1.655,
2007-07,-1.991,
2007-10,-2.429,
2008-01,-2.124,
2008-04,-1.366,
2008-07,-1.094,
2008-10,-1.573,
2009-01,1.360,
2009-04,2.215,
2009-07,2.654,
2009-10,1.481,
2010-01,1.538,
2010-04,-2.644,
2010-07,-0.249,
2010-10,0.187,
2011-01,0.974,
2011-04,-2.042,
2011-07,-0.523,
2011-10,-0.760,
2012-01,-0.045,
2012-04,-0.529,
2012-07,-0.719,
2012-10,-0.745,
2013-01,-0.595,
2013-04,-0.394,
2013-07,-0.259,
2013-10,-0.048,
2014-01,-0.601,
2014-04,-0.671,
2014-07,-0.202,
