"",BBSF2.M.1.S.I1251.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:54,
2009-09,116,
2009-10,5770,
2009-11,1790,
2009-12,870,
2010-01,48,
2010-02,1218,
2010-03,1400,
2010-04,561,
2010-05,667,
2010-06,186,
2010-07,1849,
2010-08,185,
2010-09,73,
2010-10,668,
2010-11,320,
2010-12,1055,
2011-01,1276,
2011-02,156,
2011-03,661,
2011-04,134,
2011-05,115,
2011-06,320,
2011-07,41,
2011-08,343,
2011-09,261,
2011-10,-,Nothing exists
2011-11,2546,
2011-12,469,
2012-01,290,
2012-02,5969,
2012-03,1367,
2012-04,30,
2012-05,114,
2012-06,392,
2012-07,21,
2012-08,141,
2012-09,492,
2012-10,543,
2012-11,4258,
2012-12,720,
2013-01,128,
2013-02,1183,
2013-03,2171,
2013-04,246,
2013-05,856,
2013-06,263,
2013-07,177,
2013-08,220,
2013-09,482,
2013-10,90,
2013-11,188,
2013-12,1047,
2014-01,355,
2014-02,603,
2014-03,575,
2014-04,929,
2014-05,607,
2014-06,472,
2014-07,4047,
2014-08,486,
2014-09,554,
2014-10,276,
2014-11,537,
