"",BBK01.OEHL08R,BBK01.OEHL08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:19,
2002-01,3.300,
2002-04,3.256,
2002-07,3.296,
2002-10,3.400,
2003-01,3.445,
2003-04,3.449,
2003-07,3.481,
2003-10,3.569,
2004-01,3.635,
2004-04,3.648,
2004-07,3.649,
2004-10,3.739,
2005-01,3.788,
2005-04,3.798,
2005-07,3.841,
2005-10,3.896,
2006-01,3.805,
2006-04,3.753,
2006-07,3.709,
2006-10,3.670,
2007-01,3.549,
2007-04,3.484,
2007-07,3.388,
2007-10,3.406,
2008-01,3.361,
2008-04,3.305,
2008-07,3.257,
2008-10,3.296,
2009-01,3.374,
2009-04,3.437,
2009-07,3.579,
2009-10,3.707,
2010-01,3.764,
2010-04,3.834,
2010-07,3.895,
2010-10,4.010,
2011-01,4.092,
2011-04,4.076,
2011-07,4.056,
2011-10,4.081,
2012-01,4.129,
2012-04,4.102,
2012-07,4.139,
2012-10,4.211,
2013-01,4.250,
2013-04,4.244,
2013-07,4.332,
2013-10,4.409,
2014-01,4.448,
2014-04,4.422,
2014-07,4.447,
