"",BBK01.OEAC21K,BBK01.OEAC21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:54,
2002-01,0.064,
2002-04,0.059,
2002-07,0.135,
2002-10,0.067,
2003-01,0.068,
2003-04,0.080,
2003-07,0.111,
2003-10,0.109,
2004-01,0.107,
2004-04,0.115,
2004-07,0.116,
2004-10,0.105,
2005-01,0.091,
2005-04,0.070,
2005-07,0.091,
2005-10,0.084,
2006-01,0.069,
2006-04,0.051,
2006-07,0.055,
2006-10,0.064,
2007-01,0.055,
2007-04,0.056,
2007-07,0.061,
2007-10,0.079,
2008-01,0.089,
2008-04,0.102,
2008-07,0.107,
2008-10,0.092,
2009-01,0.093,
2009-04,0.100,
2009-07,0.126,
2009-10,0.129,
2010-01,0.093,
2010-04,0.095,
2010-07,0.089,
2010-10,0.090,
2011-01,0.115,
2011-04,0.117,
2011-07,0.138,
2011-10,0.125,
2012-01,0.122,
2012-04,0.133,
2012-07,0.152,
2012-10,0.100,
2013-01,0.094,
2013-04,0.130,
2013-07,0.144,
2013-10,0.081,
2014-01,0.093,
2014-04,0.106,
2014-07,0.111,
