"",BBFN1.M.DE.N.1.A.B0.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:46,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,147.533,
1995-02,146.300,
1995-03,148.409,
1995-04,151.041,
1995-05,152.440,
1995-06,151.556,
1995-07,149.903,
1995-08,145.083,
1995-09,147.148,
1995-10,149.130,
1995-11,148.624,
1995-12,134.423,
1996-01,139.994,
1996-02,142.161,
1996-03,147.512,
1996-04,152.663,
1996-05,154.454,
1996-06,149.006,
1996-07,145.427,
1996-08,141.995,
1996-09,143.238,
1996-10,145.971,
1996-11,151.119,
1996-12,146.834,
1997-01,155.190,
1997-02,159.953,
1997-03,160.082,
1997-04,165.144,
1997-05,164.706,
1997-06,160.348,
1997-07,163.244,
1997-08,155.031,
1997-09,156.395,
1997-10,162.292,
1997-11,158.120,
1997-12,146.753,
1998-01,162.759,
1998-02,168.333,
1998-03,174.028,
1998-04,184.408,
1998-05,186.368,
1998-06,177.798,
1998-07,177.064,
1998-08,169.409,
1998-09,173.929,
1998-10,179.334,
1998-11,173.862,
1998-12,157.234,
1999-01,152.176,
1999-02,157.363,
1999-03,163.059,
1999-04,166.978,
1999-05,168.607,
1999-06,172.490,
1999-07,169.749,
1999-08,168.049,
1999-09,170.323,
1999-10,168.944,
1999-11,171.321,
1999-12,157.617,
2000-01,166.094,
2000-02,173.635,
2000-03,185.449,
2000-04,185.972,
2000-05,187.296,
2000-06,188.363,
2000-07,183.312,
2000-08,198.780,
2000-09,188.810,
2000-10,197.194,
2000-11,190.185,
2000-12,177.782,
2001-01,199.987,
2001-02,211.587,
2001-03,216.051,
2001-04,216.701,
2001-05,206.826,
2001-06,208.655,
2001-07,207.960,
2001-08,204.151,
2001-09,196.189,
2001-10,199.371,
2001-11,198.524,
2001-12,198.118,
2002-01,211.999,
2002-02,213.227,
2002-03,213.175,
2002-04,223.621,
2002-05,225.844,
2002-06,214.798,
2002-07,214.048,
2002-08,212.441,
2002-09,217.989,
2002-10,221.960,
2002-11,214.009,
2002-12,200.930,
2003-01,219.249,
2003-02,224.845,
2003-03,234.543,
2003-04,247.200,
2003-05,248.394,
2003-06,243.084,
2003-07,250.447,
2003-08,238.686,
2003-09,241.325,
2003-10,245.341,
2003-11,241.386,
2003-12,230.673,
2004-01,249.309,
2004-02,249.075,
2004-03,255.707,
2004-04,251.832,
2004-05,260.123,
2004-06,264.565,
2004-07,265.593,
2004-08,264.781,
2004-09,270.681,
2004-10,273.331,
2004-11,267.912,
2004-12,259.480,
2005-01,266.065,
2005-02,270.138,
2005-03,281.639,
2005-04,277.463,
