"",BBK01.OEYL06G,BBK01.OEYL06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:26,
2002-01,0.349,
2002-04,0.398,
2002-07,0.393,
2002-10,0.384,
2003-01,0.346,
2003-04,0.315,
2003-07,0.290,
2003-10,0.278,
2004-01,0.243,
2004-04,0.222,
2004-07,0.205,
2004-10,0.184,
2005-01,0.166,
2005-04,0.150,
2005-07,0.135,
2005-10,0.129,
2006-01,0.140,
2006-04,0.177,
2006-07,0.220,
2006-10,0.329,
2007-01,0.398,
2007-04,0.467,
2007-07,0.545,
2007-10,0.665,
2008-01,0.753,
2008-04,0.867,
2008-07,0.937,
2008-10,1.645,
2009-01,1.759,
2009-04,1.674,
2009-07,1.598,
2009-10,0.990,
2010-01,0.943,
2010-04,0.901,
2010-07,0.868,
2010-10,0.782,
2011-01,0.706,
2011-04,0.784,
2011-07,0.802,
2011-10,0.889,
2012-01,0.657,
2012-04,0.600,
2012-07,0.464,
2012-10,0.268,
2013-01,0.211,
2013-04,0.153,
2013-07,0.128,
2013-10,0.107,
2014-01,0.089,
2014-04,0.069,
2014-07,0.060,
