"",BBK01.OEAH05P,BBK01.OEAH05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:26,
2002-01,2.370,
2002-04,2.353,
2002-07,2.470,
2002-10,2.589,
2003-01,2.686,
2003-04,2.663,
2003-07,2.779,
2003-10,2.890,
2004-01,2.862,
2004-04,2.964,
2004-07,3.186,
2004-10,3.284,
2005-01,3.551,
2005-04,3.617,
2005-07,3.676,
2005-10,3.701,
2006-01,3.739,
2006-04,3.659,
2006-07,3.685,
2006-10,3.739,
2007-01,3.702,
2007-04,3.715,
2007-07,3.723,
2007-10,3.770,
2008-01,3.755,
2008-04,3.797,
2008-07,3.822,
2008-10,3.768,
2009-01,3.728,
2009-04,3.263,
2009-07,3.191,
2009-10,3.063,
2010-01,3.037,
2010-04,2.938,
2010-07,2.894,
2010-10,2.884,
2011-01,2.947,
2011-04,2.898,
2011-07,3.065,
2011-10,3.078,
2012-01,3.146,
2012-04,3.130,
2012-07,3.099,
2012-10,3.139,
2013-01,3.151,
2013-04,3.080,
2013-07,3.030,
2013-10,2.992,
2014-01,2.992,
2014-04,3.134,
2014-07,3.113,
