"",BBK01.OEAF40M,BBK01.OEAF40M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:38,
2002-01,0.127,
2002-04,0.125,
2002-07,0.128,
2002-10,0.128,
2003-01,0.134,
2003-04,0.131,
2003-07,0.156,
2003-10,0.170,
2004-01,0.159,
2004-04,0.143,
2004-07,0.140,
2004-10,0.135,
2005-01,0.135,
2005-04,0.140,
2005-07,0.144,
2005-10,0.141,
2006-01,0.140,
2006-04,0.141,
2006-07,0.135,
2006-10,0.131,
2007-01,0.108,
2007-04,0.104,
2007-07,0.105,
2007-10,0.098,
2008-01,0.092,
2008-04,0.098,
2008-07,0.096,
2008-10,0.093,
2009-01,0.091,
2009-04,0.089,
2009-07,0.101,
2009-10,0.099,
2010-01,0.107,
2010-04,0.109,
2010-07,0.112,
2010-10,0.109,
2011-01,0.107,
2011-04,0.105,
2011-07,0.104,
2011-10,0.103,
2012-01,0.103,
2012-04,0.105,
2012-07,0.108,
2012-10,0.105,
2013-01,0.106,
2013-04,0.107,
2013-07,0.107,
2013-10,0.102,
2014-01,0.101,
2014-04,0.101,
2014-07,0.100,
