"",BBDE1.M.DE.Y.GUD1.A2P330000.F.V.I10.A,BBDE1.M.DE.Y.GUD1.A2P330000.F.V.I10.A_FLAGS
"","Turnover from abroad, Euro-area countries / At current prices / Germany / Durable goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:57,
2003-01,84.9,
2003-02,80.9,
2003-03,79.0,
2003-04,78.8,
2003-05,78.4,
2003-06,78.9,
2003-07,82.6,
2003-08,78.0,
2003-09,83.8,
2003-10,85.2,
2003-11,86.1,
2003-12,85.8,
2004-01,83.8,
2004-02,85.5,
2004-03,82.6,
2004-04,87.4,
2004-05,92.3,
2004-06,88.6,
2004-07,93.0,
2004-08,84.0,
2004-09,89.2,
2004-10,89.0,
2004-11,85.4,
2004-12,88.5,
2005-01,86.0,
2005-02,84.1,
2005-03,86.2,
2005-04,85.8,
2005-05,87.0,
2005-06,85.5,
2005-07,86.0,
2005-08,83.4,
2005-09,87.3,
2005-10,90.1,
2005-11,93.9,
2005-12,89.8,
2006-01,89.3,
2006-02,93.0,
2006-03,93.8,
2006-04,95.7,
2006-05,94.5,
2006-06,92.4,
2006-07,94.0,
2006-08,101.6,
2006-09,98.4,
2006-10,98.4,
2006-11,99.1,
2006-12,95.1,
2007-01,102.9,
2007-02,103.8,
2007-03,102.0,
2007-04,98.8,
2007-05,102.2,
2007-06,106.1,
2007-07,105.6,
2007-08,107.3,
2007-09,102.4,
2007-10,105.7,
2007-11,107.1,
2007-12,112.5,
2008-01,106.2,
2008-02,104.9,
2008-03,104.8,
2008-04,104.1,
2008-05,96.3,
2008-06,101.3,
2008-07,97.6,
2008-08,101.2,
2008-09,95.8,
2008-10,96.3,
2008-11,92.8,
2008-12,88.7,
2009-01,85.9,
2009-02,76.4,
2009-03,75.8,
2009-04,74.7,
2009-05,75.3,
2009-06,77.7,
2009-07,75.9,
2009-08,80.7,
2009-09,82.4,
2009-10,85.7,
2009-11,94.1,
2009-12,95.4,
2010-01,96.9,
2010-02,98.8,
2010-03,97.0,
2010-04,97.9,
2010-05,103.0,
2010-06,101.1,
2010-07,98.8,
2010-08,100.7,
2010-09,100.2,
2010-10,99.4,
2010-11,100.5,
2010-12,98.8,
2011-01,105.4,
2011-02,101.6,
2011-03,104.4,
2011-04,105.1,
2011-05,101.1,
2011-06,91.9,
2011-07,108.8,
2011-08,98.2,
2011-09,94.5,
2011-10,97.9,
2011-11,102.7,
2011-12,96.2,
2012-01,98.9,
2012-02,94.2,
2012-03,94.0,
2012-04,94.1,
2012-05,98.4,
2012-06,92.3,
2012-07,102.6,
2012-08,92.5,
2012-09,92.2,
2012-10,88.0,
2012-11,85.8,
2012-12,86.6,
2013-01,86.9,
2013-02,89.5,
2013-03,89.6,
2013-04,89.2,
2013-05,90.2,
2013-06,91.9,
2013-07,91.7,
2013-08,88.6,
2013-09,98.0,
2013-10,92.0,
2013-11,97.6,
2013-12,94.6,
2014-01,93.8,
2014-02,95.0,
2014-03,94.2,
2014-04,94.3,
2014-05,92.3,
2014-06,94.2,
2014-07,93.5,
2014-08,96.8,
2014-09,91.6,
2014-10,93.4,
2014-11,97.0,
2014-12,109.2,Provisional value
