"",BBK01.OEHM01L,BBK01.OEHM01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:25,
2002-01,1.578,
2002-04,1.597,
2002-07,1.476,
2002-10,1.879,
2003-01,1.379,
2003-04,1.551,
2003-07,1.354,
2003-10,1.598,
2004-01,1.202,
2004-04,1.086,
2004-07,1.026,
2004-10,1.146,
2005-01,0.974,
2005-04,1.036,
2005-07,0.997,
2005-10,1.195,
2006-01,1.009,
2006-04,1.063,
2006-07,1.226,
2006-10,1.497,
2007-01,1.226,
2007-04,1.343,
2007-07,1.350,
2007-10,1.573,
2008-01,1.381,
2008-04,1.437,
2008-07,1.688,
2008-10,1.986,
2009-01,1.895,
2009-04,1.982,
2009-07,1.954,
2009-10,2.096,
2010-01,1.568,
2010-04,1.694,
2010-07,1.513,
2010-10,1.402,
2011-01,1.353,
2011-04,1.388,
2011-07,1.340,
2011-10,1.622,
2012-01,1.294,
2012-04,1.649,
2012-07,1.645,
2012-10,1.894,
2013-01,1.415,
2013-04,1.735,
2013-07,1.552,
2013-10,1.856,
2014-01,1.413,
2014-04,1.719,
2014-07,1.546,
