"",BBK01.OEAC09J,BBK01.OEAC09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:27,
2002-01,5.807,
2002-04,6.078,
2002-07,6.109,
2002-10,6.193,
2003-01,6.154,
2003-04,6.032,
2003-07,5.938,
2003-10,5.773,
2004-01,5.672,
2004-04,5.669,
2004-07,5.652,
2004-10,5.842,
2005-01,5.935,
2005-04,6.007,
2005-07,5.921,
2005-10,5.974,
2006-01,5.968,
2006-04,6.088,
2006-07,6.013,
2006-10,5.956,
2007-01,5.900,
2007-04,5.919,
2007-07,5.892,
2007-10,5.856,
2008-01,5.869,
2008-04,5.771,
2008-07,5.486,
2008-10,5.220,
2009-01,5.021,
2009-04,5.087,
2009-07,5.020,
2009-10,5.129,
2010-01,7.232,
2010-04,5.140,
2010-07,5.095,
2010-10,5.243,
2011-01,5.192,
2011-04,5.368,
2011-07,5.049,
2011-10,5.011,
2012-01,5.059,
2012-04,5.897,
2012-07,5.944,
2012-10,5.879,
2013-01,5.903,
2013-04,6.009,
2013-07,6.029,
2013-10,6.059,
2014-01,6.239,
2014-04,6.174,
2014-07,6.069,
