"",BBK01.OELB22O,BBK01.OELB22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:37,
2002-01,0.089,
2002-04,0.084,
2002-07,0.098,
2002-10,0.106,
2003-01,0.122,
2003-04,0.131,
2003-07,0.132,
2003-10,0.128,
2004-01,0.098,
2004-04,0.102,
2004-07,0.112,
2004-10,0.132,
2005-01,0.136,
2005-04,0.113,
2005-07,0.137,
2005-10,0.155,
2006-01,0.136,
2006-04,0.132,
2006-07,0.121,
2006-10,0.139,
2007-01,0.110,
2007-04,0.109,
2007-07,0.119,
2007-10,0.088,
2008-01,0.095,
2008-04,0.091,
2008-07,0.080,
2008-10,0.086,
2009-01,0.102,
2009-04,0.076,
2009-07,0.088,
2009-10,0.110,
2010-01,0.112,
2010-04,0.121,
2010-07,0.112,
2010-10,0.121,
2011-01,0.119,
2011-04,0.120,
2011-07,0.103,
2011-10,0.109,
2012-01,0.125,
2012-04,0.079,
2012-07,0.081,
2012-10,0.107,
2013-01,0.116,
2013-04,0.135,
2013-07,0.140,
2013-10,0.132,
2014-01,0.126,
2014-04,0.171,
2014-07,0.160,
