"",BBFB1.Q.N.DE.FR.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:18,
1991-01,743.919,
1991-04,915.769,
1991-07,823.630,
1991-10,888.319,
1992-01,797.304,
1992-04,863.846,
1992-07,920.118,
1992-10,970.513,
1993-01,1007.044,
1993-04,1029.523,
1993-07,959.530,
1993-10,874.185,
1994-01,776.520,
1994-04,777.655,
1994-07,796.933,
1994-10,719.153,
1995-01,958.297,
1995-04,887.969,
1995-07,882.682,
1995-10,895.082,
1996-01,681.550,
1996-04,610.640,
1996-07,827.156,
1996-10,771.178,
1997-01,952.938,
1997-04,889.254,
1997-07,967.220,
1997-10,1168.437,
1998-01,1183.657,
1998-04,1182.134,
1998-07,1408.380,
1998-10,1360.239,
1999-01,1768.074,
1999-04,2193.230,
1999-07,1904.023,
1999-10,2044.799,
2000-01,2616.883,
2000-04,2959.863,
2000-07,2724.585,
2000-10,2748.726,
2001-01,2051.889,
2001-04,2187.166,
2001-07,1953.899,
2001-10,1894.839,
2002-01,1698.633,
2002-04,1916.118,
2002-07,1862.999,
2002-10,1980.130,
2003-01,1959.486,
2003-04,2390.292,
2003-07,1925.464,
2003-10,1855.095,
2004-01,2339.750,
2004-04,2529.185,
2004-07,2146.556,
2004-10,2343.696,
2005-01,3364.610,
2005-04,3961.809,
2005-07,3542.031,
2005-10,3743.279,
2006-01,2774.721,
2006-04,3586.971,
2006-07,3052.140,
2006-10,3402.590,
2007-01,2634.933,
2007-04,4061.336,
2007-07,2634.349,
2007-10,2634.235,
2008-01,838.841,
2008-04,4799.546,
2008-07,3764.876,
2008-10,2500.931,
2009-01,1845.345,
2009-04,2990.261,
2009-07,2219.317,
2009-10,2932.186,
2010-01,2517.480,
2010-04,3782.996,
2010-07,3011.360,
2010-10,3073.673,
2011-01,2698.040,
2011-04,3687.123,
2011-07,2494.428,
2011-10,2525.915,
2012-01,2635.212,
2012-04,3808.837,
2012-07,2436.009,
2012-10,2436.015,
2013-01,2350.018,
2013-04,3466.330,
2013-07,2124.638,
2013-10,2166.939,
2014-01,2344.012,Provisional value
2014-04,3496.925,Provisional value
2014-07,2211.959,Provisional value
