"",BBK01.OEHO06K,BBK01.OEHO06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:39,
2002-01,6.686,
2002-04,6.462,
2002-07,6.461,
2002-10,6.729,
2003-01,6.780,
2003-04,6.726,
2003-07,6.664,
2003-10,6.779,
2004-01,6.742,
2004-04,6.705,
2004-07,6.626,
2004-10,6.789,
2005-01,6.771,
2005-04,6.748,
2005-07,6.611,
2005-10,6.575,
2006-01,6.639,
2006-04,6.569,
2006-07,6.476,
2006-10,6.447,
2007-01,6.440,
2007-04,6.315,
2007-07,6.171,
2007-10,6.237,
2008-01,6.381,
2008-04,6.282,
2008-07,6.189,
2008-10,6.608,
2009-01,6.425,
2009-04,6.156,
2009-07,5.891,
2009-10,5.754,
2010-01,5.697,
2010-04,5.619,
2010-07,5.537,
2010-10,5.533,
2011-01,5.563,
2011-04,5.778,
2011-07,5.777,
2011-10,5.791,
2012-01,5.752,
2012-04,5.729,
2012-07,5.721,
2012-10,5.710,
2013-01,5.762,
2013-04,5.686,
2013-07,5.789,
2013-10,5.900,
2014-01,6.244,
2014-04,6.474,
2014-07,6.594,
