"",BBK01.OEAH17R,BBK01.OEAH17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:38,
2002-01,1.847,
2002-04,1.762,
2002-07,1.735,
2002-10,1.758,
2003-01,1.533,
2003-04,1.483,
2003-07,1.472,
2003-10,1.457,
2004-01,1.418,
2004-04,1.341,
2004-07,1.295,
2004-10,1.310,
2005-01,1.329,
2005-04,1.214,
2005-07,1.316,
2005-10,1.225,
2006-01,1.254,
2006-04,1.357,
2006-07,1.379,
2006-10,1.382,
2007-01,1.491,
2007-04,1.652,
2007-07,1.738,
2007-10,1.833,
2008-01,2.096,
2008-04,2.144,
2008-07,2.288,
2008-10,2.232,
2009-01,1.686,
2009-04,1.470,
2009-07,1.265,
2009-10,1.135,
2010-01,1.078,
2010-04,0.991,
2010-07,0.979,
2010-10,0.980,
2011-01,1.101,
2011-04,1.095,
2011-07,1.128,
2011-10,1.751,
2012-01,1.911,
2012-04,1.984,
2012-07,2.070,
2012-10,2.038,
2013-01,2.136,
2013-04,2.018,
2013-07,1.995,
2013-10,1.859,
2014-01,1.898,
2014-04,1.910,
2014-07,1.641,
