"",BBK01.OEAD35T,BBK01.OEAD35T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:25,
2002-01,0.180,
2002-04,0.182,
2002-07,0.180,
2002-10,0.176,
2003-01,0.174,
2003-04,0.172,
2003-07,0.183,
2003-10,0.177,
2004-01,0.167,
2004-04,0.166,
2004-07,0.168,
2004-10,0.153,
2005-01,0.147,
2005-04,0.148,
2005-07,0.145,
2005-10,0.150,
2006-01,0.148,
2006-04,0.145,
2006-07,0.144,
2006-10,0.138,
2007-01,0.129,
2007-04,0.129,
2007-07,0.129,
2007-10,0.133,
2008-01,0.132,
2008-04,0.130,
2008-07,0.123,
2008-10,0.125,
2009-01,0.120,
2009-04,0.125,
2009-07,0.126,
2009-10,0.117,
2010-01,0.132,
2010-04,0.129,
2010-07,0.126,
2010-10,0.136,
2011-01,0.137,
2011-04,0.144,
2011-07,0.138,
2011-10,0.151,
2012-01,0.144,
2012-04,0.146,
2012-07,0.144,
2012-10,0.147,
2013-01,0.142,
2013-04,0.139,
2013-07,0.145,
2013-10,0.141,
2014-01,0.143,
2014-04,0.148,
2014-07,0.151,
