"",BBK01.OEAB12G,BBK01.OEAB12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:27,
2002-01,62.859,
2002-04,63.832,
2002-07,63.873,
2002-10,64.231,
2003-01,64.181,
2003-04,64.269,
2003-07,64.322,
2003-10,64.690,
2004-01,64.342,
2004-04,64.485,
2004-07,64.177,
2004-10,63.059,
2005-01,58.456,
2005-04,58.797,
2005-07,58.472,
2005-10,58.903,
2006-01,56.233,
2006-04,55.852,
2006-07,57.026,
2006-10,57.310,
2007-01,57.632,
2007-04,58.335,
2007-07,58.616,
2007-10,59.427,
2008-01,59.019,
2008-04,61.003,
2008-07,64.727,
2008-10,66.377,
2009-01,66.473,
2009-04,70.818,
2009-07,70.805,
2009-10,69.365,
2010-01,68.919,
2010-04,68.164,
2010-07,68.226,
2010-10,68.268,
2011-01,68.072,
2011-04,67.397,
2011-07,67.159,
2011-10,68.037,
2012-01,68.061,
2012-04,67.995,
2012-07,69.338,
2012-10,69.919,
2013-01,69.817,
2013-04,70.569,
2013-07,66.976,
2013-10,69.404,
2014-01,69.432,
2014-04,70.050,
2014-07,70.712,
