"",BBK01.OEAE31R,BBK01.OEAE31R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:44,
2002-01,0.812,
2002-04,0.807,
2002-07,0.786,
2002-10,0.801,
2003-01,0.654,
2003-04,0.647,
2003-07,0.673,
2003-10,0.686,
2004-01,0.682,
2004-04,0.687,
2004-07,0.691,
2004-10,0.682,
2005-01,0.709,
2005-04,0.695,
2005-07,0.683,
2005-10,0.742,
2006-01,0.742,
2006-04,0.750,
2006-07,0.755,
2006-10,0.748,
2007-01,0.755,
2007-04,0.742,
2007-07,0.744,
2007-10,0.779,
2008-01,0.772,
2008-04,0.767,
2008-07,0.774,
2008-10,0.773,
2009-01,0.314,
2009-04,0.448,
2009-07,0.483,
2009-10,0.469,
2010-01,0.552,
2010-04,0.569,
2010-07,0.589,
2010-10,0.598,
2011-01,0.610,
2011-04,0.601,
2011-07,0.609,
2011-10,0.611,
2012-01,0.638,
2012-04,0.657,
2012-07,0.675,
2012-10,0.692,
2013-01,0.639,
2013-04,0.660,
2013-07,0.683,
2013-10,0.692,
2014-01,0.694,
2014-04,0.700,
2014-07,0.713,
