"",BBK01.CELE53,BBK01.CELE53_FLAGS
"",short-term loans debtor: OFI                                                           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:36,
1999-01,1.5,
1999-04,2.8,
1999-07,-0.2,
1999-10,-4.6,
2000-01,5.2,
2000-04,1.6,
2000-07,-0.4,
2000-10,-6.0,
2001-01,9.6,
2001-04,-3.8,
2001-07,-1.1,
2001-10,-0.9,
2002-01,1.2,
2002-04,-3.4,
2002-07,4.5,
2002-10,-5.2,
2003-01,10.8,
2003-04,-2.1,
2003-07,4.2,
2003-10,-1.0,
2004-01,2.6,
2004-04,-2.6,
2004-07,1.1,
2004-10,4.9,
2005-01,5.2,
2005-04,0.9,
2005-07,6.5,
2005-10,-10.4,
2006-01,21.1,
2006-04,-4.6,
2006-07,9.5,
2006-10,-25.2,
2007-01,19.7,
2007-04,-5.4,
2007-07,5.4,
2007-10,-7.5,
2008-01,22.5,
2008-04,2.9,
2008-07,4.3,
2008-10,-11.0,
2009-01,31.6,
2009-04,1.6,
2009-07,-8.2,
2009-10,-12.3,
2010-01,-3.6,
2010-04,8.5,
2010-07,-10.3,
2010-10,-4.2,
2011-01,5.3,
2011-04,12.4,
2011-07,18.7,
2011-10,-1.8,
2012-01,6.9,
2012-04,-10.4,
2012-07,17.7,
2012-10,-14.5,
2013-01,13.1,
2013-04,10.4,
2013-07,-22.1,
2013-10,-2.5,
2014-01,1.3,
2014-04,-0.9,
2014-07,1.4,
