"",BBK01.CELI0I,BBK01.CELI0I_FLAGS
"",Listed Shares debtor: Total                                            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:26,
1999-01,0.3,
1999-04,8.3,
1999-07,3.2,
1999-10,2.2,
2000-01,0.2,
2000-04,10.7,
2000-07,-0.7,
2000-10,3.1,
2001-01,-2.3,
2001-04,-2.9,
2001-07,-9.5,
2001-10,-4.1,
2002-01,-10.6,
2002-04,-11.9,
2002-07,-6.7,
2002-10,-17.2,
2003-01,-9.5,
2003-04,-2.5,
2003-07,1.6,
2003-10,-2.6,
2004-01,-1.6,
2004-04,-0.7,
2004-07,-1.3,
2004-10,-0.7,
2005-01,-0.7,
2005-04,-0.7,
2005-07,-0.7,
2005-10,-0.7,
2006-01,14.6,
2006-04,0.5,
2006-07,1.6,
2006-10,-4.0,
2007-01,-1.1,
2007-04,5.9,
2007-07,2.9,
2007-10,18.1,
2008-01,-2.5,
2008-04,3.5,
2008-07,4.1,
2008-10,1.1,
2009-01,11.5,
2009-04,1.8,
2009-07,0.4,
2009-10,3.0,
2010-01,2.3,
2010-04,4.8,
2010-07,-1.4,
2010-10,7.0,
2011-01,2.6,
2011-04,0.4,
2011-07,5.3,
2011-10,5.3,
2012-01,-0.9,
2012-04,0.5,
2012-07,-0.4,
2012-10,-2.1,
2013-01,0.4,
2013-04,2.0,
2013-07,-3.3,
2013-10,-3.6,
2014-01,2.4,
2014-04,2.7,
2014-07,0.4,
