"",BBFN1.M.DE.N.1.L.MX.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MX.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:43,
1982-09,0.003,
1982-10,0.003,
1982-11,0.003,
1982-12,0.003,
1983-01,0.020,
1983-02,0.021,
1983-03,0.027,
1983-04,0.021,
1983-05,0.021,
1983-06,0.003,
1983-07,0.005,
1983-08,0.005,
1983-09,0.005,
1983-10,0.006,
1983-11,0.008,
1983-12,0.007,
1984-01,0.007,
1984-02,0.007,
1984-03,0.006,
1984-04,0.010,
1984-05,0.010,
1984-06,0.011,
1984-07,0.011,
1984-08,0.012,
1984-09,0.011,
1984-10,0.012,
1984-11,0.012,
1984-12,0.013,
1985-01,0.014,
1985-02,0.015,
1985-03,0.016,
1985-04,0.017,
1985-05,0.015,
1985-06,0.016,
1985-07,0.017,
1985-08,0.018,
1985-09,0.014,
1985-10,0.016,
1985-11,0.017,
1985-12,0.017,
1986-01,0.019,
1986-02,0.018,
1986-03,0.019,
1986-04,0.014,
1986-05,0.017,
1986-06,0.013,
1986-07,0.015,
1986-08,0.015,
1986-09,0.016,
1986-10,0.016,
1986-11,0.016,
1986-12,0.016,
1987-01,0.015,
1987-02,0.006,
1987-03,0.007,
1987-04,0.010,
1987-05,0.011,
1987-06,0.011,
1987-07,0.012,
1987-08,0.009,
1987-09,0.006,
1987-10,0.007,
1987-11,0.009,
1987-12,0.006,
1988-01,0.008,
1988-02,0.007,
1988-03,0.011,
1988-04,0.012,
1988-05,0.012,
1988-06,0.015,
1988-07,0.016,
1988-08,0.017,
1988-09,0.016,
1988-10,0.016,
1988-11,0.015,
1988-12,0.009,
1989-01,0.008,
1989-02,0.006,
1989-03,0.009,
1989-04,0.010,
1989-05,0.009,
1989-06,0.009,
1989-07,0.009,
1989-08,0.011,
1989-09,0.010,
1989-10,0.016,
1989-11,0.013,
1989-12,0.009,
1990-01,0.010,
1990-02,0.010,
1990-03,0.010,
1990-04,0.012,
1990-05,0.021,
1990-06,0.026,
1990-07,0.025,
1990-08,0.017,
1990-09,0.017,
1990-10,0.006,
1990-11,0.005,
1990-12,0.012,
1991-01,0.012,
1991-02,0.012,
1991-03,0.030,
1991-04,0.031,
1991-05,0.028,
1991-06,0.031,
1991-07,0.031,
1991-08,0.029,
1991-09,0.015,
1991-10,0.039,
1991-11,0.040,
1991-12,0.039,
1992-01,0.042,
1992-02,0.037,
1992-03,0.039,
1992-04,0.037,
1992-05,0.036,
1992-06,0.039,
1992-07,0.040,
1992-08,0.009,
1992-09,0.011,
1992-10,0.014,
1992-11,0.010,
1992-12,0.009,
1993-01,0.010,
1993-02,0.009,
1993-03,0.010,
1993-04,0.011,
1993-05,0.012,
1993-06,0.014,
1993-07,0.014,
1993-08,0.011,
1993-09,0.011,
1993-10,0.014,
1993-11,0.012,
1993-12,0.010,
1994-01,0.015,
1994-02,0.008,
1994-03,0.011,
1994-04,0.012,
1994-05,0.011,
1994-06,0.015,
1994-07,0.014,
1994-08,0.009,
1994-09,0.010,
1994-10,0.007,
1994-11,0.009,
1994-12,0.011,
1995-01,0.010,
1995-02,0.010,
1995-03,0.009,
1995-04,0.012,
1995-05,0.013,
1995-06,0.015,
1995-07,0.017,
1995-08,0.015,
1995-09,0.013,
1995-10,0.013,
1995-11,0.017,
1995-12,0.018,
1996-01,0.022,
1996-02,0.021,
1996-03,0.017,
1996-04,0.018,
1996-05,0.017,
1996-06,0.021,
1996-07,0.020,
1996-08,0.022,
1996-09,0.034,
1996-10,0.023,
1996-11,0.024,
1996-12,0.018,
1997-01,0.013,
1997-02,0.027,
1997-03,0.025,
1997-04,0.035,
1997-05,0.027,
1997-06,0.015,
1997-07,0.018,
1997-08,0.018,
1997-09,0.021,
1997-10,0.025,
1997-11,0.028,
1997-12,0.032,
1998-01,0.031,
1998-02,0.027,
1998-03,0.028,
1998-04,0.024,
1998-05,0.028,
1998-06,0.030,
1998-07,0.044,
1998-08,0.041,
1998-09,0.074,
1998-10,0.038,
1998-11,0.035,
1998-12,0.036,
1999-01,0.029,
1999-02,0.030,
1999-03,0.036,
1999-04,0.029,
1999-05,0.024,
1999-06,0.029,
1999-07,0.025,
1999-08,0.117,
1999-09,0.123,
1999-10,0.129,
1999-11,0.131,
1999-12,0.125,
2000-01,0.175,
2000-02,0.153,
2000-03,0.192,
2000-04,0.201,
2000-05,0.210,
2000-06,0.217,
2000-07,0.415,
2000-08,0.417,
2000-09,0.562,
2000-10,0.581,
2000-11,0.476,
2000-12,0.432,
2001-01,0.277,
2001-02,0.286,
2001-03,0.279,
2001-04,0.293,
2001-05,0.279,
2001-06,0.594,
2001-07,0.622,
2001-08,0.591,
2001-09,0.482,
2001-10,0.595,
2001-11,0.585,
2001-12,0.627,
2002-01,0.485,
2002-02,0.445,
2002-03,0.452,
2002-04,0.414,
2002-05,0.384,
2002-06,0.374,
2002-07,0.389,
2002-08,0.406,
2002-09,0.422,
2002-10,0.400,
2002-11,0.342,
2002-12,0.639,
2003-01,0.689,
2003-02,0.612,
2003-03,0.329,
2003-04,0.383,
2003-05,0.491,
2003-06,0.482,
2003-07,0.578,
2003-08,0.629,
2003-09,0.653,
2003-10,0.652,
2003-11,0.438,
2003-12,0.491,
2004-01,0.443,
2004-02,0.419,
2004-03,0.415,
2004-04,0.383,
2004-05,0.475,
2004-06,0.514,
2004-07,0.520,
2004-08,0.544,
2004-09,0.548,
2004-10,0.436,
2004-11,0.308,
2004-12,0.332,
2005-01,0.429,
2005-02,0.438,
2005-03,0.264,
2005-04,0.392,
2005-05,0.443,
2005-06,0.262,
2005-07,0.172,
2005-08,0.327,
2005-09,0.312,
2005-10,0.298,
2005-11,0.339,
2005-12,0.275,
2006-01,0.241,
2006-02,0.355,
2006-03,0.233,
2006-04,0.175,
2006-05,0.182,
2006-06,0.212,
2006-07,0.218,
2006-08,0.257,
2006-09,0.250,
2006-10,0.237,
2006-11,0.331,
2006-12,0.356,
2007-01,0.306,
2007-02,0.263,
2007-03,0.258,
2007-04,0.245,
2007-05,0.284,
2007-06,0.284,
2007-07,0.284,
2007-08,0.309,
2007-09,0.306,
2007-10,0.308,
2007-11,0.338,
2007-12,0.392,
2008-01,0.349,
2008-02,0.315,
2008-03,0.275,
2008-04,0.285,
2008-05,0.280,
2008-06,0.297,
2008-07,0.310,
2008-08,0.360,
2008-09,0.527,
2008-10,0.740,
2008-11,0.721,
2008-12,0.542,
2009-01,0.270,
2009-02,0.312,
2009-03,0.340,
2009-04,0.317,
2009-05,0.305,
2009-06,0.335,
2009-07,0.313,
2009-08,0.342,
2009-09,0.506,
2009-10,0.363,
2009-11,0.360,
2009-12,0.420,
2010-01,0.508,
2010-02,0.384,
2010-03,0.462,
2010-04,0.431,
2010-05,0.409,
2010-06,0.493,
2010-07,0.466,
2010-08,0.479,
2010-09,0.483,
2010-10,0.510,
2010-11,0.538,
2010-12,0.527,
2011-01,0.503,
2011-02,0.523,
2011-03,0.527,
2011-04,0.531,
2011-05,0.468,
2011-06,0.475,
2011-07,0.468,
2011-08,0.457,
2011-09,0.492,
2011-10,0.542,
2011-11,0.568,
2011-12,0.615,
2012-01,0.638,
2012-02,0.615,
2012-03,0.664,
2012-04,0.650,
2012-05,0.621,
2012-06,0.614,
2012-07,0.669,
2012-08,0.685,
2012-09,0.687,
2012-10,0.638,
2012-11,0.693,
2012-12,0.717,
2013-01,0.815,
2013-02,0.883,
2013-03,0.925,
2013-04,0.683,
2013-05,0.783,
2013-06,0.725,
2013-07,0.715,
2013-08,0.768,
2013-09,0.741,
2013-10,0.798,
2013-11,0.726,
2013-12,0.775,
2014-01,0.723,
2014-02,0.788,
2014-03,0.812,
2014-04,0.785,
2014-05,0.765,
2014-06,0.861,
2014-07,0.889,
2014-08,0.935,
2014-09,1.023,
2014-10,1.090,
2014-11,1.128,
2014-12,1.053,
