"",BBK01.OEHK03P,BBK01.OEHK03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:39,
2002-01,0.155,
2002-04,0.141,
2002-07,0.134,
2002-10,0.120,
2003-01,0.117,
2003-04,0.127,
2003-07,0.120,
2003-10,0.083,
2004-01,0.092,
2004-04,0.088,
2004-07,0.089,
2004-10,0.085,
2005-01,0.084,
2005-04,0.083,
2005-07,0.080,
2005-10,0.083,
2006-01,0.079,
2006-04,0.070,
2006-07,0.077,
2006-10,0.085,
2007-01,0.087,
2007-04,0.089,
2007-07,0.085,
2007-10,0.088,
2008-01,0.090,
2008-04,0.055,
2008-07,0.110,
2008-10,0.121,
2009-01,0.107,
2009-04,0.096,
2009-07,0.085,
2009-10,0.076,
2010-01,0.034,
2010-04,0.032,
2010-07,0.030,
2010-10,0.029,
2011-01,0.030,
2011-04,0.030,
2011-07,0.023,
2011-10,0.027,
2012-01,0.029,
2012-04,0.025,
2012-07,0.020,
2012-10,0.017,
2013-01,0.014,
2013-04,0.015,
2013-07,0.014,
2013-10,0.014,
2014-01,0.016,
2014-04,0.014,
2014-07,0.013,
