"",BBFN1.M.DE.N.1.A.CZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:28,
1994-12,1.023,
1995-01,1.056,
1995-02,1.072,
1995-03,1.118,
1995-04,1.169,
1995-05,1.200,
1995-06,1.252,
1995-07,1.261,
1995-08,1.301,
1995-09,1.323,
1995-10,1.357,
1995-11,1.394,
1995-12,1.266,
1996-01,1.296,
1996-02,1.289,
1996-03,1.418,
1996-04,1.464,
1996-05,1.511,
1996-06,1.590,
1996-07,1.569,
1996-08,1.596,
1996-09,1.709,
1996-10,1.682,
1996-11,1.783,
1996-12,1.706,
1997-01,1.671,
1997-02,1.724,
1997-03,1.827,
1997-04,1.877,
1997-05,1.890,
1997-06,1.987,
1997-07,2.030,
1997-08,2.048,
1997-09,2.065,
1997-10,2.131,
1997-11,2.143,
1997-12,2.299,
1998-01,2.065,
1998-02,2.214,
1998-03,2.277,
1998-04,2.332,
1998-05,2.487,
1998-06,2.524,
1998-07,2.563,
1998-08,2.554,
1998-09,2.757,
1998-10,2.750,
1998-11,2.842,
1998-12,2.594,
1999-01,2.554,
1999-02,2.519,
1999-03,2.626,
1999-04,2.584,
1999-05,2.682,
1999-06,2.735,
1999-07,2.746,
1999-08,2.657,
1999-09,2.715,
1999-10,2.774,
1999-11,2.718,
1999-12,2.641,
2000-01,2.643,
2000-02,2.681,
2000-03,2.776,
2000-04,2.795,
2000-05,2.847,
2000-06,2.945,
2000-07,2.978,
2000-08,3.046,
2000-09,3.078,
2000-10,3.075,
2000-11,3.134,
2000-12,3.173,
2001-01,3.174,
2001-02,3.272,
2001-03,3.278,
2001-04,3.415,
2001-05,3.400,
2001-06,3.598,
2001-07,3.453,
2001-08,3.456,
2001-09,3.656,
2001-10,3.626,
2001-11,3.514,
2001-12,3.430,
2002-01,3.149,
2002-02,3.189,
2002-03,3.143,
2002-04,3.307,
2002-05,3.349,
2002-06,3.451,
2002-07,3.308,
2002-08,3.202,
2002-09,3.162,
2002-10,3.214,
2002-11,3.158,
2002-12,3.030,
2003-01,3.053,
2003-02,3.045,
2003-03,3.078,
2003-04,3.111,
2003-05,3.103,
2003-06,3.135,
2003-07,3.152,
2003-08,3.076,
2003-09,3.185,
2003-10,3.342,
2003-11,3.371,
2003-12,3.142,
2004-01,3.121,
2004-02,3.100,
2004-03,3.209,
2004-04,3.227,
2004-05,3.343,
2004-06,3.386,
2004-07,3.236,
2004-08,3.186,
2004-09,3.333,
2004-10,3.560,
2004-11,3.578,
2004-12,3.426,
2005-01,3.412,
2005-02,3.612,
2005-03,3.554,
2005-04,3.577,
2005-05,3.652,
2005-06,3.760,
2005-07,3.597,
2005-08,3.690,
2005-09,3.803,
2005-10,3.878,
2005-11,3.913,
2005-12,3.740,
2006-01,3.800,
2006-02,3.870,
2006-03,3.966,
2006-04,4.006,
2006-05,4.038,
2006-06,4.141,
2006-07,4.027,
2006-08,3.928,
2006-09,4.108,
2006-10,4.121,
2006-11,4.234,
2006-12,3.850,
2007-01,4.104,
2007-02,4.267,
2007-03,4.379,
2007-04,4.327,
2007-05,4.408,
2007-06,4.462,
2007-07,4.407,
2007-08,4.425,
2007-09,4.645,
2007-10,4.928,
2007-11,5.019,
2007-12,4.826,
2008-01,4.890,
2008-02,4.755,
2008-03,4.985,
2008-04,5.089,
2008-05,5.292,
2008-06,5.686,
2008-07,5.587,
2008-08,5.581,
2008-09,6.133,
2008-10,6.154,
2008-11,6.194,
2008-12,6.065,
2009-01,5.882,
2009-02,6.084,
2009-03,6.502,
2009-04,6.422,
2009-05,6.381,
2009-06,7.291,
2009-07,7.060,
2009-08,6.448,
2009-09,6.638,
2009-10,7.287,
2009-11,7.334,
2009-12,5.401,
2010-01,4.748,
2010-02,4.638,
2010-03,5.730,
2010-04,5.859,
2010-05,5.706,
2010-06,5.637,
2010-07,5.683,
2010-08,5.423,
2010-09,5.870,
2010-10,5.713,
2010-11,5.433,
2010-12,5.356,
2011-01,5.126,
2011-02,5.334,
2011-03,5.610,
2011-04,5.370,
2011-05,5.614,
2011-06,5.885,
2011-07,5.669,
2011-08,5.625,
2011-09,6.255,
2011-10,5.830,
2011-11,5.767,
2011-12,5.658,
2012-01,5.653,
2012-02,5.175,
2012-03,6.399,
2012-04,5.958,
2012-05,5.587,
2012-06,5.756,
2012-07,6.070,
2012-08,6.011,
2012-09,6.459,
2012-10,5.887,
2012-11,5.821,
2012-12,5.838,
2013-01,5.615,
2013-02,5.869,
2013-03,6.469,
2013-04,6.039,
2013-05,6.084,
2013-06,6.406,
2013-07,5.749,
2013-08,5.819,
2013-09,6.035,
2013-10,6.001,
2013-11,5.957,
2013-12,5.845,
2014-01,5.401,
2014-02,5.708,
2014-03,5.949,
2014-04,5.357,
2014-05,5.533,
2014-06,5.932,
2014-07,5.447,
2014-08,5.327,
2014-09,6.248,
2014-10,5.679,
2014-11,5.902,
2014-12,5.983,
