"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Total financial assets/liabilities / Rest of the World / Other sectors than MFIs and general government / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:43,
1991-01,-283.569,
1991-02,360.089,
1991-03,489.339,
1991-04,387.446,
1991-05,200.986,
1991-06,450.692,
1991-07,-124.371,
1991-08,370.871,
1991-09,62.054,
1991-10,293.566,
1991-11,1505.536,
1991-12,-329.132,
1992-01,428.844,
1992-02,-274.140,
1992-03,192.348,
1992-04,-218.118,
1992-05,-240.386,
1992-06,-253.918,
1992-07,-4.158,
1992-08,-138.199,
1992-09,-290.510,
1992-10,522.068,
1992-11,142.119,
1992-12,-1439.067,
1993-01,-262.841,
1993-02,560.608,
1993-03,160.088,
1993-04,34.443,
1993-05,11.484,
1993-06,142.644,
1993-07,-308.358,
1993-08,128.421,
1993-09,200.980,
1993-10,90.101,
1993-11,-241.968,
1993-12,-237.686,
1994-01,546.712,
1994-02,179.035,
1994-03,288.640,
1994-04,348.576,
1994-05,565.857,
1994-06,409.624,
1994-07,240.220,
1994-08,355.620,
1994-09,558.392,
1994-10,418.012,
1994-11,630.218,
1994-12,2442.149,
1995-01,1440.428,
1995-02,836.028,
1995-03,-380.172,
1995-04,291.024,
1995-05,-118.119,
1995-06,240.467,
1995-07,1958.921,
1995-08,278.806,
1995-09,968.650,
1995-10,1325.285,
1995-11,-235.617,
1995-12,1336.319,
1996-01,-2007.644,
1996-02,1971.407,
1996-03,1247.671,
1996-04,1470.779,
1996-05,1844.155,
1996-06,-2741.689,
1996-07,-2026.818,
1996-08,-405.642,
1996-09,3863.597,
1996-10,-8.086,
1996-11,1968.428,
1996-12,7644.910,
1997-01,1849.497,
1997-02,3952.627,
1997-03,3348.604,
1997-04,2981.941,
1997-05,-4672.006,
1997-06,1321.988,
1997-07,-128.160,
1997-08,-7354.934,
1997-09,9007.794,
1997-10,-5634.185,
1997-11,4181.452,
1997-12,7780.609,
1998-01,-2039.460,
1998-02,7107.676,
1998-03,17463.725,
1998-04,1163.304,
1998-05,8215.216,
1998-06,-872.837,
1998-07,-8507.419,
1998-08,-6907.353,
1998-09,9528.948,
1998-10,-5793.220,
1998-11,3450.353,
1998-12,2426.420,
1999-01,2526.707,
1999-02,2601.706,
1999-03,11830.510,
1999-04,6411.185,
1999-05,6726.456,
1999-06,5282.713,
1999-07,-7333.505,
1999-08,1682.994,
1999-09,7216.396,
1999-10,10147.992,
1999-11,-11.171,
1999-12,34031.989,
2000-01,1373.859,
2000-02,141405.743,
2000-03,26775.042,
2000-04,8291.426,
2000-05,11634.179,
2000-06,29013.569,
2000-07,9013.531,
2000-08,20286.473,
2000-09,23025.058,
2000-10,11357.098,
2000-11,4771.525,
2000-12,-30896.427,
2001-01,2249.844,
2001-02,18613.423,
2001-03,6251.894,
2001-04,4616.089,
2001-05,4206.432,
2001-06,5494.967,
2001-07,4320.922,
2001-08,-2026.594,
2001-09,12580.618,
2001-10,-736.748,
2001-11,-13722.228,
2001-12,20123.432,
2002-01,-239.899,
2002-02,4673.906,
2002-03,4528.525,
2002-04,9949.336,
2002-05,12696.407,
2002-06,348.153,
2002-07,-4969.852,
2002-08,2303.583,
2002-09,10494.471,
2002-10,2550.510,
2002-11,1964.538,
2002-12,6873.165,
2003-01,6187.719,
2003-02,3452.845,
2003-03,21136.633,
2003-04,2613.726,
2003-05,6959.442,
2003-06,6760.130,
2003-07,9127.745,
2003-08,749.860,
2003-09,7176.018,
2003-10,-12035.798,
2003-11,7187.926,
2003-12,371.924,
2004-01,-3839.732,
2004-02,-19425.272,
2004-03,3383.179,
2004-04,-3690.387,
2004-05,1466.352,
2004-06,3364.176,
2004-07,656.579,
2004-08,-6375.872,
2004-09,1694.930,
2004-10,-2046.779,
2004-11,-562.201,
2004-12,8457.231,
2005-01,-3139.453,
2005-02,2842.371,
2005-03,6226.255,
2005-04,195.303,
2005-05,961.112,
2005-06,2822.839,
2005-07,-4036.560,
2005-08,-2403.740,
2005-09,8001.205,
2005-10,6790.413,
2005-11,5175.600,
2005-12,5400.961,
2006-01,-2387.496,
2006-02,6564.313,
2006-03,8480.130,
2006-04,-5843.182,
2006-05,13644.632,
2006-06,3754.354,
2006-07,-6018.504,
2006-08,4082.649,
2006-09,10420.402,
2006-10,3156.267,
2006-11,7726.425,
2006-12,21347.814,
2007-01,9548.771,
2007-02,-1529.149,
2007-03,9721.828,
2007-04,-1100.341,
2007-05,204.335,
2007-06,7994.932,
2007-07,-1648.962,
2007-08,998.723,
2007-09,7988.165,
2007-10,4263.603,
2007-11,-5960.500,
2007-12,-3827.385,
2008-01,-4647.493,
2008-02,-3969.181,
2008-03,5688.291,
2008-04,7842.351,
2008-05,730.865,
2008-06,3543.069,
2008-07,-3802.325,
2008-08,1181.405,
2008-09,13766.179,
2008-10,1271.829,
2008-11,5155.736,
2008-12,-4715.530,
2009-01,1224.936,
2009-02,8474.837,
2009-03,766.594,
2009-04,-136.666,
2009-05,4946.571,
2009-06,-1044.873,
2009-07,-1690.646,
2009-08,73.794,
2009-09,3810.312,
2009-10,2970.723,
2009-11,4354.803,
2009-12,15850.189,
2010-01,-4203.470,
2010-02,5554.669,
2010-03,6648.497,
2010-04,-2248.506,
2010-05,9411.010,
2010-06,-538.884,
2010-07,241.511,
2010-08,7175.451,
2010-09,13793.933,
2010-10,-1537.412,
2010-11,9565.711,
2010-12,17631.480,
2011-01,2410.991,
2011-02,-926.028,
2011-03,5214.574,
2011-04,1607.161,
2011-05,6704.126,
2011-06,13200.629,
2011-07,1109.180,
2011-08,1522.926,
2011-09,16382.406,
2011-10,-4154.444,
2011-11,11725.971,
2011-12,9659.296,
2012-01,-4533.188,
2012-02,1710.771,
2012-03,10615.461,
2012-04,-6206.825,
2012-05,2749.868,
2012-06,11859.430,
2012-07,3659.191,
2012-08,-4325.615,
2012-09,1891.268,
2012-10,583.266,
2012-11,9589.084,
2012-12,10180.610,
2013-01,1975.294,
2013-02,-3529.314,
2013-03,8241.412,
2013-04,13449.258,
2013-05,2887.537,
2013-06,1429.605,
2013-07,-2017.541,
2013-08,-209.438,
2013-09,6046.695,
2013-10,3578.973,
2013-11,-2296.884,
2013-12,9163.962,
2014-01,-10512.470,
2014-02,8362.927,Provisional value
2014-03,3721.484,Provisional value
2014-04,-1008.108,Provisional value
2014-05,3181.476,Provisional value
2014-06,5272.776,Provisional value
2014-07,-4655.496,Provisional value
2014-08,5197.530,Provisional value
2014-09,-7450.414,
2014-10,-1394.037,
2014-11,2031.784,
2014-12,-10444.475,Provisional value
