"",BBK01.OELB22H,BBK01.OELB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:27,
2002-01,0.138,
2002-04,0.146,
2002-07,0.159,
2002-10,0.116,
2003-01,0.145,
2003-04,0.151,
2003-07,0.121,
2003-10,0.093,
2004-01,0.119,
2004-04,0.120,
2004-07,0.120,
2004-10,0.094,
2005-01,0.115,
2005-04,0.114,
2005-07,0.113,
2005-10,0.089,
2006-01,0.119,
2006-04,0.110,
2006-07,0.096,
2006-10,0.089,
2007-01,0.116,
2007-04,0.095,
2007-07,0.094,
2007-10,0.087,
2008-01,0.094,
2008-04,0.080,
2008-07,0.071,
2008-10,0.054,
2009-01,0.072,
2009-04,0.082,
2009-07,0.078,
2009-10,0.057,
2010-01,0.086,
2010-04,0.071,
2010-07,0.075,
2010-10,0.048,
2011-01,0.093,
2011-04,0.087,
2011-07,0.081,
2011-10,0.051,
2012-01,0.086,
2012-04,0.074,
2012-07,0.069,
2012-10,0.047,
2013-01,0.067,
2013-04,0.071,
2013-07,0.063,
2013-10,0.058,
2014-01,0.082,
2014-04,0.091,
2014-07,0.078,
