"",BBK01.EU8216,BBK01.EU8216_FLAGS
"",External position of the Bundesbank up to 1998 / Foreign exchange reserves / other foreign exchange,
unit,DM (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:05,
1948-12,202.983,
1949-01,-,Nothing exists
1949-02,-,Nothing exists
1949-03,230.593,
1949-04,-,Nothing exists
1949-05,-,Nothing exists
1949-06,246.954,
1949-07,-,Nothing exists
1949-08,-,Nothing exists
1949-09,204.005,
1949-10,-,Nothing exists
1949-11,-,Nothing exists
1949-12,197.870,
1950-01,-,Nothing exists
1950-02,-,Nothing exists
1950-03,101.236,
1950-04,-,Nothing exists
1950-05,-,Nothing exists
1950-06,103.281,
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,144.184,
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,89.476,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,118.108,
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,207.073,
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,245.420,
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,191.223,
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,205.028,
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,264.849,
1952-07,-,Nothing exists
1952-08,-,Nothing exists
1952-09,234.683,
1952-10,-,Nothing exists
1952-11,-,Nothing exists
1952-12,154.410,
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,208.096,
1953-04,-,Nothing exists
1953-05,-,Nothing exists
1953-06,251.556,
1953-07,-,Nothing exists
1953-08,-,Nothing exists
1953-09,242.864,
1953-10,-,Nothing exists
1953-11,-,Nothing exists
1953-12,309.843,
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,300.640,
1954-04,-,Nothing exists
1954-05,-,Nothing exists
1954-06,224.968,
1954-07,-,Nothing exists
1954-08,-,Nothing exists
1954-09,183.042,
1954-10,-,Nothing exists
1954-11,-,Nothing exists
1954-12,185.088,
1955-01,-,Nothing exists
1955-02,-,Nothing exists
1955-03,122.199,
1955-04,-,Nothing exists
1955-05,-,Nothing exists
1955-06,209.118,
1955-07,-,Nothing exists
1955-08,-,Nothing exists
1955-09,197.870,
1955-10,-,Nothing exists
1955-11,-,Nothing exists
1955-12,263.827,
1956-01,261.270,
1956-02,238.262,
1956-03,274.564,
1956-04,275.075,
1956-05,331.828,
1956-06,395.740,
1956-07,484.193,
1956-08,342.566,
1956-09,400.342,
1956-10,424.372,
1956-11,481.637,
1956-12,427.440,
1957-01,500.043,
1957-02,518.961,
1957-03,513.848,
1957-04,598.212,
1957-05,613.550,
1957-06,645.762,
1957-07,617.129,
1957-08,900.896,
1957-09,802.217,
1957-10,314.956,
1957-11,268.940,
1957-12,224.457,
1958-01,215.254,
1958-02,205.028,
1958-03,275.075,
1958-04,246.443,
1958-05,443.801,
1958-06,413.124,
1958-07,309.332,
1958-08,243.375,
1958-09,284.790,
1958-10,315.978,
1958-11,365.062,
1958-12,502.600,
1959-01,171.794,
1959-02,157.989,
1959-03,125.267,
1959-04,124.755,
1959-05,137.026,
1959-06,167.704,
1959-07,181.509,
1959-08,197.870,
1959-09,192.246,
1959-10,241.841,
1959-11,298.083,
1959-12,361.995,
1960-01,393.183,
1960-02,399.830,
1960-03,372.220,
1960-04,392.672,
1960-05,421.305,
1960-06,469.366,
1960-07,501.066,
1960-08,479.592,
1960-09,499.532,
1960-10,472.945,
1960-11,418.748,
1960-12,427.951,
1961-01,437.666,
1961-02,431.530,
1961-03,867.151,
1961-04,629.912,
1961-05,621.220,
1961-06,626.844,
1961-07,648.318,
1961-08,419.259,
1961-09,394.717,
