"",BBK01.OELI05K,BBK01.OELI05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:51,
2002-01,0.185,
2002-04,0.196,
2002-07,0.199,
2002-10,0.198,
2003-01,0.198,
2003-04,0.209,
2003-07,0.206,
2003-10,0.236,
2004-01,0.237,
2004-04,0.235,
2004-07,0.248,
2004-10,0.274,
2005-01,0.195,
2005-04,0.267,
2005-07,0.266,
2005-10,0.274,
2006-01,0.279,
2006-04,0.289,
2006-07,0.292,
2006-10,0.291,
2007-01,0.285,
2007-04,0.284,
2007-07,0.288,
2007-10,0.280,
2008-01,0.259,
2008-04,0.256,
2008-07,0.251,
2008-10,0.248,
2009-01,0.246,
2009-04,0.228,
2009-07,0.229,
2009-10,0.223,
2010-01,0.227,
2010-04,0.220,
2010-07,0.222,
2010-10,0.225,
2011-01,0.229,
2011-04,0.223,
2011-07,0.223,
2011-10,0.208,
2012-01,0.209,
2012-04,0.210,
2012-07,0.205,
2012-10,0.205,
2013-01,0.199,
2013-04,0.193,
2013-07,0.190,
2013-10,0.163,
2014-01,0.218,
2014-04,0.218,
2014-07,0.203,
