"",BBEX3.M.WST.EUR.CM.AA.A01,BBEX3.M.WST.EUR.CM.AA.A01_FLAGS
"",Exchange rates for the euro in Samoa  / WST 1 = EUR ... (buying),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:12,
1999-01,0.3045,
1999-02,0.3082,
1999-03,0.3194,
1999-04,0.3275,
1999-05,0.3258,
1999-06,0.3287,
1999-07,0.3175,
1999-08,0.3180,
1999-09,0.3177,
1999-10,0.3175,
1999-11,0.3324,
1999-12,0.3378,
2000-01,0.3399,
2000-02,0.3373,
2000-03,0.3433,
2000-04,0.3528,
2000-05,0.3356,
2000-06,0.3351,
2000-07,0.3375,
2000-08,0.3457,
2000-09,0.3387,
2000-10,0.3452,
2000-11,0.3388,
2000-12,0.3266,
2001-01,0.3290,
2001-02,0.3264,
2001-03,0.3289,
2001-04,0.3308,
2001-05,0.3451,
2001-06,0.3432,
2001-07,0.3338,
2001-08,0.3316,
2001-09,0.3197,
2001-10,0.3195,
2001-11,0.3252,
2001-12,0.3245,
2002-01,0.3348,
2002-02,0.3348,
2002-03,0.3383,
2002-04,0.3317,
2002-05,0.3326,
2002-06,0.3155,
2002-07,0.3127,
2002-08,0.3128,
2002-09,0.3105,
2002-10,0.3147,
2002-11,0.3155,
2002-12,0.3047,
2003-01,0.3045,
2003-02,0.3078,
2003-03,0.3040,
2003-04,0.3002,
2003-05,0.2895,
2003-06,0.3038,
2003-07,0.3043,
2003-08,0.3096,
2003-09,0.3035,
2003-10,0.3119,
2003-11,0.3051,
2003-12,0.2971,
2004-01,0.3038,
2004-02,0.3074,
2004-03,0.3057,
2004-04,0.3037,
2004-05,0.2996,
2004-06,0.2992,
2004-07,0.3011,
2004-08,0.3010,
2004-09,0.3006,
2004-10,0.2970,
2004-11,0.2921,
2004-12,0.2766,
2005-01,0.2964,
2005-02,0.2952,
2005-03,0.2983,
2005-04,0.3021,
2005-05,0.3085,
2005-06,0.3139,
2005-07,0.3116,
2005-08,0.3097,
2005-09,0.3166,
2005-10,0.3166,
2005-11,0.3193,
2005-12,0.3154,
2006-01,0.3103,
2006-02,0.3125,
2006-03,0.2983,
2006-04,0.2947,
2006-05,0.2912,
2006-06,0.2898,
2006-07,0.2950,
2006-08,0.2937,
2006-09,0.2947,
2006-10,0.2977,
2006-11,0.2900,
2006-12,0.2931,
2007-01,0.2940,
2007-02,0.2929,
2007-03,0.2925,
2007-04,0.2919,
2007-05,0.2944,
2007-06,0.2973,
2007-07,0.2959,
2007-08,0.2864,
2007-09,0.2843,
2007-10,0.2858,
2007-11,0.2778,
2007-12,0.2793,
2008-01,0.2786,
2008-02,0.2771,
2008-03,0.2646,
2008-04,0.2685,
2008-05,0.2696,
2008-06,0.2666,
2008-07,0.2632,
2008-08,0.2697,
2008-09,0.2720,
2008-10,0.2790,
2008-11,0.2735,
2008-12,0.2587,
2009-01,0.2652,
2009-02,0.2662,
2009-03,0.2675,
2009-04,0.2718,
2009-05,0.2719,
2009-06,0.2769,
2009-07,0.2779,
2009-08,0.2806,
2009-09,0.2838,
2009-10,0.2840,
2009-11,0.2796,
2009-12,0.2909,
2010-01,0.2965,
2010-02,0.3021,
2010-03,0.3076,
2010-04,0.3155,
2010-05,0.3234,
2010-06,0.3254,
2010-07,0.3192,
2010-08,0.3229,
2010-09,0.3215,
2010-10,0.3221,
2010-11,0.3367,
2010-12,0.3405,
2011-01,0.3285,
2011-02,0.3259,
2011-03,0.3197,
2011-04,0.3187,
2011-05,0.3267,
2011-06,0.3251,
2011-07,0.3382,
2011-08,0.3312,
2011-09,0.3320,
2011-10,0.3344,
2011-11,0.3379,
2011-12,0.3472,
2012-01,0.3532,
2012-02,0.3509,
2012-03,0.3486,
2012-04,0.3524,
2012-05,0.3651,
2012-06,0.3700,
2012-07,0.3815,
2012-08,0.3712,
2012-09,0.3659,
2012-10,0.3630,
2012-11,0.3631,
2012-12,0.3563,
2013-01,0.3703,
2013-02,0.3588,
2013-03,0.3588,
2013-04,0.3648,
2013-05,0.3548,
2013-06,0.3487,
2013-07,0.3441,
2013-08,0.3408,
2013-09,0.3438,
2013-10,0.3432,
2013-11,0.3386,
2013-12,0.3338,comment
"","Source: January 2002 - December 2013 ANZ Bank (Samoa) Ltd, Apia January 1999 - December 2001 Bank of Western Samoa, Apia",
"","Comment on 2013-12: Thereafter, only middle rates have been available; see BBEX3:M:WST:EUR:CM:AC:A01.",
