"",BBK01.OECB05V,BBK01.OECB05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:20,
2002-01,7.965,
2002-04,7.924,
2002-07,7.904,
2002-10,7.725,
2003-01,7.420,
2003-04,7.360,
2003-07,7.490,
2003-10,7.245,
2004-01,7.085,
2004-04,7.351,
2004-07,7.404,
2004-10,6.822,
2005-01,7.919,
2005-04,7.850,
2005-07,7.823,
2005-10,7.584,
2006-01,7.500,
2006-04,7.508,
2006-07,7.512,
2006-10,7.504,
2007-01,7.328,
2007-04,7.286,
2007-07,7.269,
2007-10,7.291,
2008-01,7.316,
2008-04,7.458,
2008-07,7.571,
2008-10,7.420,
2009-01,7.315,
2009-04,10.915,
2009-07,10.678,
2009-10,10.445,
2010-01,10.224,
2010-04,10.073,
2010-07,8.269,
2010-10,8.015,
2011-01,8.526,
2011-04,8.491,
2011-07,8.441,
2011-10,8.253,
2012-01,8.169,
2012-04,8.027,
2012-07,8.094,
2012-10,8.059,
2013-01,8.138,
2013-04,7.963,
2013-07,8.096,
2013-10,8.261,
2014-01,8.303,
2014-04,8.534,
2014-07,8.244,
