"",BBFB1.M.N.DE.W1.S1.S1.T.B.SD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:24,
1991-01,-1501.231,
1991-02,-1348.487,
1991-03,-1842.505,
1991-04,-1385.663,
1991-05,-1408.098,
1991-06,-2278.094,
1991-07,-1981.941,
1991-08,-2719.635,
1991-09,-2878.959,
1991-10,-1947.570,
1991-11,-1058.283,
1991-12,-1293.900,
1992-01,-1708.061,
1992-02,-1440.950,
1992-03,-1969.217,
1992-04,-1654.510,
1992-05,-1657.154,
1992-06,-2569.550,
1992-07,-2395.857,
1992-08,-3005.569,
1992-09,-3470.081,
1992-10,-2253.155,
1992-11,-1209.384,
1992-12,-1416.283,
1993-01,-1813.894,
1993-02,-1557.398,
1993-03,-2128.660,
1993-04,-1691.267,
1993-05,-1703.588,
1993-06,-2841.083,
1993-07,-2629.779,
1993-08,-3354.417,
1993-09,-3518.527,
1993-10,-2466.053,
1993-11,-1291.511,
1993-12,-1447.256,
1994-01,-2009.798,
1994-02,-1802.073,
1994-03,-2459.398,
1994-04,-2156.642,
1994-05,-1992.371,
1994-06,-3331.496,
1994-07,-3093.013,
1994-08,-3810.372,
1994-09,-4034.331,
1994-10,-2783.669,
1994-11,-1530.169,
1994-12,-1680.066,
1995-01,-1973.119,
1995-02,-1739.030,
1995-03,-2467.827,
1995-04,-2062.800,
1995-05,-2006.696,
1995-06,-3358.013,
1995-07,-3003.354,
1995-08,-3921.348,
1995-09,-4217.896,
1995-10,-2845.908,
1995-11,-1567.915,
1995-12,-1728.751,
1996-01,-1967.136,
1996-02,-1747.286,
1996-03,-2449.379,
1996-04,-2139.253,
1996-05,-2125.879,
1996-06,-3530.341,
1996-07,-3161.936,
1996-08,-4083.922,
1996-09,-4299.178,
1996-10,-2933.261,
1996-11,-1658.244,
1996-12,-1793.405,
1997-01,-2263.900,
1997-02,-1920.572,
1997-03,-2211.955,
1997-04,-2349.986,
1997-05,-2532.163,
1997-06,-2956.999,
1997-07,-3361.420,
1997-08,-4506.213,
1997-09,-3710.575,
1997-10,-3276.835,
1997-11,-1824.895,
1997-12,-1139.733,
1998-01,-2301.560,
1998-02,-1841.024,
1998-03,-2037.443,
1998-04,-2370.606,
1998-05,-2525.677,
1998-06,-3057.408,
1998-07,-3313.249,
1998-08,-4608.848,
