"",BBQFS.M.US.CORP.EST_PE_SP500._X.0000,BBQFS.M.US.CORP.EST_PE_SP500._X.0000_FLAGS
"",Expected price-to-earnings ratio S&P 500 (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:23,
2005-01,16.29,
2005-02,16.31,
2005-03,15.91,
2005-04,15.61,
2005-05,16.06,
2005-06,15.95,
2005-07,16.41,
2005-08,16.05,
2005-09,16.01,
2005-10,15.72,
2005-11,16.34,
2005-12,16.38,
2006-01,15.22,
2006-02,15.20,
2006-03,15.37,
2006-04,15.48,
2006-05,14.96,
2006-06,14.88,
2006-07,14.79,
2006-08,15.12,
2006-09,15.49,
2006-10,15.83,
2006-11,16.04,
2006-12,16.30,
2007-01,15.62,
2007-02,15.23,
2007-03,15.45,
2007-04,15.99,
2007-05,16.43,
2007-06,16.10,
2007-07,15.37,
2007-08,15.55,
2007-09,16.20,
2007-10,16.62,
2007-11,16.22,
2007-12,16.48,
2008-01,14.09,
2008-02,13.77,
2008-03,13.91,
2008-04,15.04,
2008-05,15.28,
2008-06,14.15,
2008-07,14.60,
2008-08,15.38,
2008-09,13.95,
2008-10,12.34,
2008-11,11.90,
2008-12,12.58,
2009-01,12.48,
2009-02,11.94,
2009-03,13.54,
2009-04,15.21,
2009-05,16.07,
2009-06,15.51,
2009-07,16.44,
2009-08,17.08,
2009-09,17.63,
2009-10,16.72,
2009-11,17.30,
2009-12,18.00,
2010-01,13.89,
2010-02,14.20,
2010-03,15.05,
2010-04,14.72,
2010-05,13.42,
2010-06,12.67,
2010-07,13.27,
2010-08,12.59,
2010-09,13.71,
2010-10,13.97,
2010-11,13.86,
2010-12,14.75,
2011-01,13.46,
2011-02,13.80,
2011-03,13.69,
2011-04,13.82,
2011-05,13.55,
2011-06,13.35,
2011-07,13.00,
2011-08,12.19,
2011-09,11.41,
2011-10,12.63,
2011-11,12.57,
2011-12,12.71,
2012-01,12.51,
2012-02,13.04,
2012-03,13.49,
2012-04,13.26,
2012-05,12.46,
2012-06,13.03,
2012-07,13.31,
2012-08,13.56,
2012-09,13.93,
2012-10,13.53,
2012-11,13.62,
2012-12,13.74,
2013-01,13.56,
2013-02,13.68,
2013-03,14.19,
2013-04,14.51,
2013-05,14.85,
2013-06,14.63,
2013-07,15.28,
2013-08,14.83,
2013-09,15.26,
2013-10,15.84,
2013-11,16.25,
2013-12,16.73,
2014-01,15.16,
2014-02,15.81,
2014-03,15.98,
2014-04,16.00,
2014-05,16.31,
2014-06,16.60,
2014-07,16.15,
2014-08,16.77,
2014-09,16.53,
2014-10,16.80,
"",Source: Bloomberg,
"",Methodology: Based on consensus estimates of earnings per share for the next four quarters.,
