"",BBK01.OECI02R,BBK01.OECI02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:30,
2002-01,0.546,
2002-04,0.610,
2002-07,0.616,
2002-10,0.673,
2003-01,0.535,
2003-04,0.554,
2003-07,0.573,
2003-10,0.628,
2004-01,0.557,
2004-04,0.582,
2004-07,0.588,
2004-10,0.846,
2005-01,0.905,
2005-04,0.903,
2005-07,0.939,
2005-10,1.054,
2006-01,0.922,
2006-04,0.949,
2006-07,1.017,
2006-10,1.121,
2007-01,1.072,
2007-04,1.117,
2007-07,1.199,
2007-10,1.047,
2008-01,1.043,
2008-04,0.977,
2008-07,1.042,
2008-10,1.203,
2009-01,1.172,
2009-04,1.151,
2009-07,1.290,
2009-10,1.343,
2010-01,1.298,
2010-04,1.286,
2010-07,1.392,
2010-10,1.524,
2011-01,1.389,
2011-04,1.372,
2011-07,1.446,
2011-10,1.464,
2012-01,1.462,
2012-04,1.482,
2012-07,1.573,
2012-10,1.653,
2013-01,1.602,
2013-04,1.616,
2013-07,1.667,
2013-10,1.762,
2014-01,1.716,
2014-04,1.742,
2014-07,1.823,
