"",BBK01.OEYB23Q,BBK01.OEYB23Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:14,
2002-01,1.051,
2002-04,1.036,
2002-07,0.954,
2002-10,0.868,
2003-01,0.833,
2003-04,0.817,
2003-07,0.751,
2003-10,0.736,
2004-01,0.757,
2004-04,0.726,
2004-07,0.700,
2004-10,0.524,
2005-01,0.293,
2005-04,0.292,
2005-07,0.221,
2005-10,0.297,
2006-01,0.231,
2006-04,0.183,
2006-07,0.226,
2006-10,0.488,
2007-01,0.521,
2007-04,0.660,
2007-07,0.543,
2007-10,0.543,
2008-01,0.892,
2008-04,0.920,
2008-07,0.888,
2008-10,0.881,
2009-01,0.838,
2009-04,1.163,
2009-07,1.016,
2009-10,0.992,
2010-01,0.959,
2010-04,0.690,
2010-07,0.718,
2010-10,0.778,
2011-01,0.686,
2011-04,0.662,
2011-07,0.630,
2011-10,0.577,
2012-01,0.524,
2012-04,0.510,
2012-07,0.436,
2012-10,0.312,
2013-01,0.165,
2013-04,0.182,
2013-07,0.158,
2013-10,0.114,
2014-01,0.103,
2014-04,0.287,
2014-07,0.285,
