"",BBK01.OEAA40O,BBK01.OEAA40O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:40,
2002-01,1.465,
2002-04,1.489,
2002-07,1.465,
2002-10,1.506,
2003-01,1.589,
2003-04,1.586,
2003-07,1.582,
2003-10,1.349,
2004-01,1.329,
2004-04,0.889,
2004-07,0.897,
2004-10,0.670,
2005-01,1.453,
2005-04,1.777,
2005-07,1.449,
2005-10,1.316,
2006-01,1.173,
2006-04,1.126,
2006-07,1.129,
2006-10,1.156,
2007-01,1.156,
2007-04,1.113,
2007-07,1.039,
2007-10,1.045,
2008-01,1.044,
2008-04,1.031,
2008-07,1.103,
2008-10,1.076,
2009-01,0.689,
2009-04,0.674,
2009-07,0.671,
2009-10,1.282,
2010-01,1.187,
2010-04,1.167,
2010-07,1.174,
2010-10,1.146,
2011-01,1.113,
2011-04,1.092,
2011-07,1.073,
2011-10,1.045,
2012-01,0.843,
2012-04,0.823,
2012-07,0.737,
2012-10,0.720,
2013-01,0.695,
2013-04,0.679,
2013-07,0.659,
2013-10,0.638,
2014-01,0.619,
2014-04,0.602,
2014-07,0.582,
